id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north
9524,förskola,Förskolan Dartanjangs gata 3,Dartanjangs gata 3,16872,Bromma,146876,6583013
8284,förskola,Förskolan Djupdalsvägen 72–74,Djupdalsvägen 72–74,16772,Bromma,146604,6579179
8293,förskola,Förskolan Drottningholmsvägen 510A,Drottningholmsvägen 510A,16839,Bromma,145818,6580061
8276,förskola,Förskolan Författarvägen 29–31,Författarvägen 29-31,16775,Bromma,146235,6578930
8328,förskola,Förskolan Gliavägen 128,Gliavägen 128,16858,Bromma,145282,6582121
8323,förskola,Förskolan Gliavägen 130,Gliavägen 130 B,16858,Bromma,145238,6582141
7756,förskola,Förskolan Grindslanten,Förskottsvägen 20,12932,Hägersten,149177,6575888
8280,förskola,Förskolan Gubbkärrsvägen 29,Gubbkärrsvägen 29,16840,Bromma,145200,6579597
28134,förskola,Förskolan Guldklimpar Lilla Äppelbo,Runda vägen 24A,16751,Bromma,148876,6579477
9250,förskola,Förskolan Guldklimpar Äppelbo,Runda vägen 50,16751,Bromma,148935,6579110
6558,förskola,Förskolan Gustav III:s väg 36,Gustav III:s väg 36,16830,Bromma,146944,6579859
10543,förskola,Förskolan Hagelstavägen 24,Hagelstavägen 24,16866,Bromma,147041,6582835
28556,förskola,Förskolan Höjden,Kinnaredsgränd 69,12572,Älvsjö,151861,6574883
6379,förskola,Förskolan Johannesfredsvägen 27,Johannesfredsvägen 27,16868,Bromma,148394,6581222
6566,förskola,Förskolan Karen Blixens gata 15,Karen Blixens gata 15,16844,Bromma,142790,6581231
10459,förskola,Förskolan Kattresan,Zornvägen 43–47,16850,Bromma,143912,6580633
8496,förskola,Förskolan Klintbacken 11,Klintbacken 11,16866,Bromma,147398,6582766
6594,förskola,Förskolan Margretelundsvägen 73,Margretelundsvägen 73,16736,Bromma,148703,6580514
6600,förskola,Förskolan Marklandsbacken 2,Marklandsbacken 2,16836,Bromma,146403,6580190
26051,förskola,Förskolan Masugnsvägen 72–74,Masugnsvägen  72–74,16877,Bromma,147870,6582456
10547,förskola,Förskolan Metapontum,Stora Mans Väg 11D,12559,Älvsjö,148655,6573898
8297,förskola,"Förskolan Nockeby kyrkväg 8, Svanhildsvägen 23","Nockeby kyrkväg 8, Svanhildsvägen 23",16774,Bromma,145792,6579397
8289,förskola,Förskolan Nockebyvägen 20,Nockebyvägen 20,16848,Bromma,146634,6578627
6606,förskola,Förskolan Nyängsvägen 21,Nyängsvägen 21,16754,Bromma,148214,6578846
29659,förskola,Förskolan Nyängsvägen 66,Nyängsvägen 66,16764,Bromma,147721,6578882
6630,förskola,Förskolan Olovslundsvägen 19,Olovslundsvägen 19,16772,Bromma,146473,6579548
6412,förskola,Förskolan Osmundsvägen 6,Osmundsvägen 6,16868,Bromma,148505,6581320
6706,förskola,Förskolan Pippi Långstrumps gata 12,Pippi Långstrumps gata 12,16871,Bromma,146993,6583081
6713,förskola,Förskolan Pippi Långstrumps gata 14,Pippi Långstrumps gata 14,16871,Bromma,146968,6583139
10370,förskola,Förskolan Raketen,Björnsonsgatan 313,16847,Bromma,143264,6581701
8314,förskola,Förskolan Ringarstigen 2,Ringarstigen 2,16858,Bromma,145674,6582258
9169,förskola,Förskolan Råbyvägen,Råbyvägen 34,12543,Älvsjö,151397,6573563
6778,förskola,Förskolan Smedslättsvägen 71,Smedslättsvägen 71,16761,Bromma,147780,6578664
7663,förskola,Förskolan Stormfågeln AB,Ivar Vidfamnes Gata 20,12652,Hägersten,149221,6576981
8310,förskola,Förskolan Styresman Sanders väg 16,Styresman Sanders väg 16,16860,Bromma,144390,6582838
9491,förskola,Förskolan Sunnanstigen 11,Sunnanstigen 11,16731,Bromma,147456,6580305
6940,förskola,Förskolan Svartviksslingan 47,Svartviksslingan 47,16738,Bromma,149418,6580533
7949,förskola,Förskolan Svartviksslingan 53,Svartviksslingan 53,16738,Bromma,149492,6580438
9496,förskola,Förskolan Tunnlandsvägen 30,Tunnlandsvägen 30,16836,Bromma,146748,6580079
6854,förskola,Förskolan Tyska Bottens väg 49,Tyska Bottens väg 49,16841,Bromma,144631,6579720
9503,förskola,"Förskolan Ulvsunda Slottsväg 19, 22",Ulvsunda slottsväg 19 och 22,16733,Bromma,148224,6580131
7944,förskola,Förskolan Vadmalsvägen 5–7,Vadmalsvägen 5–7,16874,Bromma,146855,6580517
9166,förskola,Förskolan Vingåkersvägen,Vingåkersvägen 22–26,12540,Älvsjö,151714,6573324
8342,förskola,Förskolan Vinjegatan 31–33/Björnsonsgatan 132,Björnsonsgatan 132,16844,Bromma,143155,6581437
9520,förskola,Förskolan Vultejusvägen 15 A,Vultejusvägen 15 A,16856,Bromma,145005,6581502
8304,förskola,Förskolan Vultejusvägen 15 D E,Vultejusvägen 15 D E,16856,Bromma,144919,6581494
6850,förskola,Förskolan Zornvägen 26,Zornvägen 26,16851,Bromma,143894,6580909
10401,förskola,Förskolan Änglan AB,Våxtorpsgränd 18,12573,Älvsjö,151868,6574764
7346,förskola,Förskolan Äppelvikstorget,Nyängsvägen 1,16754,Bromma,148448,6579057
10564,förskola,Förskolan Örnbacken,Örnbacken 34,12651,Hägersten,149317,6577121
9056,förskola,Föräldrakooperativet Minnemalen,Svartviksslingan 13,16738,Bromma,149405,6580550
9585,förskola,Föräldrakooperativet Storken,Sunnanstigen 5,16731,Bromma,147431,6580271
10284,förskola,Föräldrakooperativet Trumslagaren,Trumslagargatan 10,12534,Älvsjö,149886,6573491
8423,förskola,Föräldrakooperativet Vildkatten,Tegelbruksvägen 31,12634,Hägersten,150735,6579164
7197,förskola,Gläntan Lotterivägen 17,Lotterivägen 17,12932,Hägersten,148864,6575750
9477,förskola,Gläntan Östbergabackarna 50,Östbergabackarna 50,12572,Älvsjö,151760,6574730
10050,förskola,Grodan,Störtloppsvägen 36,12945,Hägersten,148091,6575470
6773,förskola,Grågåsen,Erik Segersälls väg 24–30,12650,Hägersten,149951,6576951
9539,förskola,Gökboet – Ängbybarnens förskolor,Dybecksvägen 84,16855,Bromma,144362,6581256
10614,förskola,Hasselbacken,Personnevägen 78,12935,Hägersten,148593,6575898
8612,förskola,Hattis,Hattmakarbacken 11,12942,Hägersten,147286,6575742
7257,förskola,Hattstugans Waldorfförskola,Stora Mossens backe 4,16756,Bromma,147965,6579932
9952,förskola,Hoppetossa Tolvan,Grönviksvägen 111,16776,Bromma,145854,6578691
8521,förskola,I Ur och Skur Havskatten,Missionsvägen 14,16733,Bromma,149068,6580737
7610,förskola,I Ur och Skur Mullelyan,Beckombergavägen 13,16854,Bromma,145506,6580876
9652,förskola,I Ur och Skur Trollsländan,Tappvägen 32,16870,Bromma,147290,6583278
7322,förskola,I Ur och Skur Täppan,Grundtvigsgatan 47–49,16848,Bromma,143441,6581249
7713,förskola,I Ur och Skur Vindleken,Långsjövägen 12,12530,Älvsjö,149862,6573262
10728,förskola,I Ur och Skur Vinterelvan,Örnbacken 4,12651,Hägersten,149461,6577153
7668,förskola,I Ur och Skur Västanvind,Anundsvägen 12,16853,Bromma,143831,6581933
8664,förskola,Instrumentet,Instrumentvägen 32,12653,Hägersten,149106,6576914
8631,förskola,Jungfru Lona,Kinmanssonsvägen 47,12938,Hägersten,148419,6576477
9738,förskola,Justineborgs förskola,Adolfsbergsvägen 26,16866,Bromma,147474,6582625
8703,förskola,Kastanjen Majstångsvägen 6,Majstångsvägen 6,12633,Hägersten,150515,6576459
8725,förskola,Kata Dalström,Kata Dalströms gata 23,12954,Hägersten,147619,6574504
30310,förskola,Kobran,Mobilgatan 3B,12626,Hägersten,149378,6575858
6748,förskola,Korpen,Schlytersvägen 55,12650,Hägersten,150137,6576793
10462,förskola,Kristallen,Isgränd 6,12946,Hägersten,148145,6575076
8959,förskola,Kroppås,Sankt Mickelsgatan 122,12941,Hägersten,147697,6575891
8386,förskola,Lillgårdens waldorfförskola,Broderivägen 13,16838,Bromma,145991,6580446
6695,förskola,Lillskogen,Karlslundsvägen 10,12552,Älvsjö,149189,6572618
7081,förskola,LM-gården,Trettondagsvägen 7–9,12636,Hägersten,149850,6576069
8684,förskola,Luren,Kransbindarvägen 120,12636,Hägersten,149769,6576283
10718,förskola,Långbropark förskola,Stora mans väg 11B,12559,Älvsjö,148589,6574006
8700,förskola,Långsjö,Gårdstigen 19,12552,Älvsjö,148508,6572342
8955,förskola,Majamyra,Torsslowsbacken 2,12937,Hägersten,148613,6576794
7327,förskola,Mariehälls Montessoriförskola,Hagelstavägen 20,16866,Bromma,147040,6582749
6734,förskola,Matrisen,Långsjövägen 14,12530,Älvsjö,149819,6573229
10526,förskola,Metronomen,Radiusbacken 31,12629,Hägersten,150233,6575909
9884,förskola,Mineralen,Skodonsvägen 9,12677,Hägersten,150362,6574878
7672,förskola,Minne Mus Montessoriförskola,Svartviksslingan 88,16739,Bromma,149290,6580536
8427,förskola,Montessoriförskolan Bromma Planeten,Söderberga allé 28,16862,Bromma,144070,6582728
10175,förskola,Montessoriförskolan Liten och Stor,Stopvägen 37,16835,Bromma,146928,6580023
8759,förskola,Montessoriförskolan Regnbågen,Krattvägen 20,12532,Älvsjö,149269,6574403
8769,förskola,Muminstugan,Vantörsvägen 150,12557,Älvsjö,148843,6573521
