Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel
ICA Nära Annedal,supermarket,Matbutik,Bällstavägen,,59.3610384,17.9490899,Mariehäll
SATS Alvik,fitness_centre,Gym/Utomhusgym,Gustavslundsvägen,159,59.3322677,17.9821,Alvik
Matleverantören,restaurant,Restaurang & Snabbmat,Ranhammarsvägen,18C,59.3494616,17.9620882,Bromma
Hammargrillen,fast_food,Restaurang & Snabbmat,Ranhammarsvägen,16,59.3490816,17.9607815,Bromma
Lekplats,playground,Lekplats,Sigrid Undsets gata,,59.3471861,17.8871147,Blackeberg
Astrids skafferi,restaurant,Restaurang & Snabbmat,Färjestadsvägen,,59.341696,17.905837,Norra Ängby
Texas Longhorn,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.3367003,17.9569973,Ulvsunda
Robert E:S Choklad,cafe,Kafé,Grundtvigsgatan,26,59.3467144,17.8845991,Blackeberg
Lekplats,playground,Lekplats,Grundtvigsgatan,,59.3450877,17.8874242,Blackeberg
Lekplats,playground,Lekplats,Thespisvägen,,59.3267362,17.9339432,Höglandet
Ålstensgatan 18 Sushi,restaurant,Restaurang & Snabbmat,Ålstensgatan,18,59.3232346,17.9561914,Ålsten
Dr. Fagerberg,doctor,Vårdcentral,Cronströmsvägen,9b,59.3586181,17.9544319,Mariehäll
Brödernas,fast_food,Restaurang & Snabbmat,Bergslagsvägen,268,59.347413,17.8939697,Södra Ängby
Hemköp Bromma Blackeberg C,supermarket,Matbutik,Wergelandsgatan,3,59.3474912,17.8843764,Blackeberg
Blackebergs bibliotek,library,Bibliotek,Wergelandsgatan,,59.3477669,17.8843846,Blackeberg
Apotek Hjärtat,pharmacy,Apotek,Vinjegatan,,59.3481204,17.8840425,Blackeberg
Inari Sushi,restaurant,Restaurang & Snabbmat,Vinjegatan,,59.3478551,17.883272,Blackeberg
Johannesfredsgrillen,fast_food,Restaurang & Snabbmat,Johannesfredsvägen,,59.3437928,17.9700701,Ulvsunda industriområde
itrim,fitness_centre,Gym/Utomhusgym,Drottningholmsvägen,,59.3392618,17.9402272,Bromma
Brommarondellens Trafikskola,driving_school,Trafikskola,Brommaplan,407,59.3389785,17.9394763,Bromma
Garros Bistro,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,159,59.3322143,17.9816828,Alvik
Pokeburger,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,149E,59.3317992,17.9849072,Alvik
Gustafs Matsal & Bar,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,149A,59.331474,17.9846622,Alvik
Fitness24Seven,fitness_centre,Gym/Utomhusgym,Bällstavägen,28,59.3607139,17.9557816,Mariehäll
Bun Meat Bun,restaurant,Restaurang & Snabbmat,Bällstavägen,36,59.3607344,17.9549192,Mariehäll
Lekplats,playground,Lekplats,Beckomberga Ängsväg,,59.3557406,17.8991898,Beckomberga
Lekplats,playground,Lekplats,Torgnyvägen,,59.3545067,17.8968533,Beckomberga
Takumi Sushi & Ramen,restaurant,Restaurang & Snabbmat,Bällstavägen,,59.3606282,17.9497799,Mariehäll
Mariehälls Pizzeria,restaurant,Restaurang & Snabbmat,Bällstavägen,53,59.3606924,17.9494125,Mariehäll
Miss Goa,restaurant,Restaurang & Snabbmat,Bällstavägen,61,59.3607868,17.9475027,Mariehäll
Neko Wok,restaurant,Restaurang & Snabbmat,Köpsvängen,,59.3559663,17.9547679,Mariehäll
Wienerkonditoriet,cafe,Kafé,Köpsvängen,,59.3553007,17.9565688,Mariehäll
shish lebanse street food,restaurant,Restaurang & Snabbmat,Köpsvängen,,59.3560211,17.9549757,Mariehäll
Spisa Husmanskost,restaurant,Restaurang & Snabbmat,Köpsvängen,,59.355981,17.9550336,Mariehäll
Joe & The Juice,cafe,Kafé,Köpsvängen,,59.3549986,17.9567167,Mariehäll
Nockeby trafikskola,driving_school,Trafikskola,Arkitektvägen,4,59.3342969,17.9512407,Abrahamsberg
Blackebergsgrillen,fast_food,Restaurang & Snabbmat,Blackebergsplan,9,59.3477646,17.8837209,Blackeberg
Jhonny's,restaurant,Restaurang & Snabbmat,Blackebergsplan,1,59.3473406,17.8833606,Blackeberg
Lekplats,playground,Lekplats,Poppelvägen,,59.325213,17.9752862,Äppelviken
Lekplats,playground,Lekplats,Blackebergsvägen,,59.3372928,17.9008154,Södra Ängby
Bastard Burgers,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,26,59.3328103,17.9821701,Alvik
Abrahamsbergs Café,cafe,Kafé,Bävervägen,,59.3354159,17.9520473,Stora mossen
Tandläkare Frida Sadeghi,dentist,Tandläkare,Gustav III:s Väg,,59.334076,17.9492416,Abrahamsberg
art sushi | sashimi,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,,59.3329284,17.9772143,Alvik
Georgian House,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.33733,17.9541981,Ulvsunda
Friskis & Svettis,fitness_centre,Gym/Utomhusgym,Drottningholmsvägen,,59.3377042,17.9488966,Bromma
Mack Ohlson,fuel,Bensinmack,Lusthusbacken,,59.317936,17.9447798,Ålsten
Il Bicchiere,restaurant,Restaurang & Snabbmat,Bågvägen,,59.3221809,17.9555082,Ålsten
Ålstenstandläkarna,dentist,Tandläkare,Ålstensgatan,,59.3239447,17.9564772,Ålsten
Effekt,fitness_centre,Gym/Utomhusgym,Rörläggarvägen,,59.3307953,17.9473003,Abrahamsberg
Maxi ICA Stormarknad Bromma,supermarket,Matbutik,Köpsvängen,4,59.3537504,17.9562145,Mariehäll
Jarla Trafikskola,driving_school,Trafikskola,Travbanevägen,1,59.3626452,17.9404182,Mariehäll
Dizin,restaurant,Restaurang & Snabbmat,Arvid Mörnes väg,4,59.3479568,17.8771682,Blackeberg
Olivias krog,restaurant,Restaurang & Snabbmat,Holbergsgatan,,59.346484,17.8818327,Blackeberg
Kaskad,cinema,Biograf,Blackebergsplan,3,59.3475522,17.8829427,Blackeberg
Sushi Yama,restaurant,Restaurang & Snabbmat,Köpsvängen,34b,59.3536028,17.9570771,Ulvsunda industriområde
Espresso House,cafe,Kafé,Köpsvängen,,59.355743,17.9555179,Mariehäll
Tasty Sushi,restaurant,Restaurang & Snabbmat,Mariehällsvägen,31,59.3626003,17.9552586,Mariehäll
SATS Bromma Blocks,fitness_centre,Gym/Utomhusgym,Köpsvängen,,59.3533955,17.9566347,Mariehäll
Bistro Bromma,restaurant,Restaurang & Snabbmat,Spångavägen,138,59.3541217,17.91538,Bromma kyrka
Kafé,cafe,Kafé,Ålstens Skogsväg,,59.3152289,17.9661388,Smedslätten
Minnies Thai Kitchen (Fiskvagnen),fast_food,Restaurang & Snabbmat,Bryggerivägen,10,59.3492328,17.9662725,Ulvsunda industriområde
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Spångavägen,,59.3612682,17.9047892,Eneby
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Margretelundsvägen,,59.3350183,17.9875133,Traneberg
Mille Gusti,restaurant,Restaurang & Snabbmat,Bergslagsvägen,260C,59.3469112,17.8950251,Södra Ängby
Il Forno Italiano,fast_food,Restaurang & Snabbmat,Flygplatsinfarten,,59.3552831,17.945607,Mariehäll
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,Flygplatsinfarten,,59.355298,17.9458854,Mariehäll
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,Flygplatsinfarten,,59.3553061,17.9453096,Mariehäll
Wok & Sushi,fast_food,Restaurang & Snabbmat,Flygplatsinfarten,,59.3553346,17.9450577,Mariehäll
Brödernas,fast_food,Restaurang & Snabbmat,Kamomillagatan,,59.3615294,17.949113,Mariehäll
STC,fitness_centre,Gym/Utomhusgym,Bällstavägen,,59.3610575,17.9481887,Mariehäll
PWR studio,fitness_centre,Gym/Utomhusgym,Annedalsvägen,,59.3647168,17.9508775,Mariehäll
Annedals Tandklinik,dentist,Tandläkare,Alfons Åbergs Gata,,59.3651243,17.9467368,Mariehäll
Bromma fysioterapi,physiotherapist,Fysioterapeut,Holbergsgatan,,59.3470447,17.883942,Blackeberg
Stc,fitness_centre,Gym/Utomhusgym,Grundtvigsgatan,,59.3470485,17.8848402,Blackeberg
Salladsmagasinet Bromma,restaurant,Restaurang & Snabbmat,Follingbogatan,64,59.3582783,17.8994003,Beckomberga
Lekplats,playground,Lekplats,Grönviksvägen,,59.3227145,17.9284398,Nockeby
Lekplats,playground,Lekplats,Grönviksvägen,,59.3201184,17.9432023,Ålsten
PanPan Sushi,restaurant,Restaurang & Snabbmat,Nockeby Torg,,59.3295844,17.9290369,Nockeby
Pissamai Thai Food,restaurant,Restaurang & Snabbmat,Björnsonsgatan,,59.3492013,17.8802891,Blackeberg
Nano Café,cafe,Kafé,Vinjegatan,,59.3479723,17.8832788,Blackeberg
Raanthai Blackeberg,supermarket,Matbutik,Vinjegatan,,59.3480353,17.8841495,Blackeberg
Bistro Tarboush,fast_food,Restaurang & Snabbmat,Blackebergsvägen,,59.3459118,17.8929701,Södra Ängby
Ängby Tandläkarna,dentist,Tandläkare,Bergslagsvägen,,59.3471271,17.8947734,Södra Ängby
Kompir,restaurant,Restaurang & Snabbmat,Långskeppsgatan,5,59.3514662,17.8998872,Beckomberga
Maji,restaurant,Restaurang & Snabbmat,Långskeppsgatan,1,59.3512818,17.9002803,Norra Ängby
Fotvårds Kliniken,doctor,Vårdcentral,Långskeppsgatan,7,59.3515469,17.8997241,Beckomberga
Brommagymnasterna,physiotherapist,Fysioterapeut,Abrahamsbergsvägen,,59.3347889,17.9514352,Abrahamsberg
Pizzeria Kaktusen,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.3376357,17.9522899,Riksby
Medstore,pharmacy,Apotek,Riksbyvägen,,59.3411605,17.9443373,Riksby
Polonez Cafe & Deli,cafe,Kafé,Bergslagsvägen,,59.3397115,17.9381491,Bromma
Tandläkare,dentist,Tandläkare,Ulvsundavägen,,59.3351158,17.9688271,Ulvsunda
PWR GYM,fitness_centre,Gym/Utomhusgym,Tappvägen,,59.3639406,17.9501675,Mariehäll
Ruccola,restaurant,Restaurang & Snabbmat,Bällstavägen,,59.3605064,17.9547529,Mariehäll
Sushi Dumplings,restaurant,Restaurang & Snabbmat,Emils Gata,,59.3627067,17.9501658,Mariehäll
Italgotti,restaurant,Restaurang & Snabbmat,Annedalsvägen,,59.364388,17.9510147,Mariehäll
Di Manzo,restaurant,Restaurang & Snabbmat,Alpvägen,,59.3626378,17.9507768,Mariehäll
Café Lilla Hörnan,cafe,Kafé,Gårdsfogdevägen,,59.3565575,17.9594494,Mariehäll
Damas,restaurant,Restaurang & Snabbmat,Tackjärnsvägen,,59.345331,17.9718496,Ulvsunda industriområde
Sweet Chili,restaurant,Restaurang & Snabbmat,Ulvsundavägen,,59.3531098,17.9587026,Ulvsunda industriområde
Fotia Kliniken,doctor,Vårdcentral,Gustavslundsvägen,,59.3318908,17.9834316,Alvik
Banthai Fastfood,fast_food,Restaurang & Snabbmat,Vidängsvägen,,59.3361589,17.9792137,Traneberg
Tandläkare,dentist,Tandläkare,Drottningholmsvägen,,59.3333043,17.9785204,Alvik
Deli Molinari,restaurant,Restaurang & Snabbmat,Tranebergsvägen,,59.3350001,17.9795483,Traneberg
Munlyckan,dentist,Tandläkare,Gustavslundsvägen,,59.3327994,17.9783979,Alvik
You Train,fitness_centre,Gym/Utomhusgym,Storsylsvägen,,59.338091,17.9804192,Traneberg
Alviks Grillen,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,166,59.3329242,17.9794225,Alvik
Hemma Hos Annika,restaurant,Restaurang & Snabbmat,Dybecksvägen,,59.3474854,17.9004738,Norra Ängby
Lekplats,playground,Lekplats,Tapetserarvägen,,59.3302896,17.9454151,Olovslund
Lekplats,playground,Lekplats,Johan Tillanders väg,,59.3437051,17.8741436,Blackeberg
OKQ8 Bromma Flygplats/Solvalla,fuel,Bensinmack,Cumulusvägen,3,59.3610885,17.9408544,Mariehäll
Distriktstandvården Ålsten,dentist,Tandläkare,Ålstensgatan,14,59.3239757,17.9565442,Ålsten
Brommatandläkarna,dentist,Tandläkare,Rånövägen,,59.3334499,17.9242,Nockeby
Capresi,restaurant,Restaurang & Snabbmat,Ulvsundavägen,,59.3560405,17.9551351,Mariehäll
Marolla,restaurant,Restaurang & Snabbmat,Västerledstorget,3,59.329357,17.9681518,Stora mossen
Vietsmak,restaurant,Restaurang & Snabbmat,Bällstavägen,205,59.3562527,17.9103006,Bromma kyrka
Shell,fuel,Bensinmack,Ulvsundavägen,71,59.340805,17.9611842,Ulvsunda
Stora Coop Bromma,supermarket,Matbutik,Ulvsundavägen,189,59.3565785,17.9530154,Mariehäll
Willys Stockholm Bromma,supermarket,Matbutik,Ulvsundavägen,189E,59.3570495,17.9505295,Mariehäll
OKQ8 Bromma,fuel,Bensinmack,Brommaplan,408,59.3405266,17.940107,Bromma
Hemköp Garpes,supermarket,Matbutik,Sobelgränd,4,59.3289709,17.9563616,Stora mossen
Grill,restaurant,Restaurang & Snabbmat,Färjestadsvägen,,59.34216,17.9070437,Norra Ängby
Sjöpaviljongen,restaurant,Restaurang & Snabbmat,Tranebergs Strand,4,59.3316151,17.9862842,Traneberg
Alviksgrillen,fast_food,Restaurang & Snabbmat,Gustavslundsvägen,,59.332954,17.9793659,Alvik
Kalaset Strand,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,,59.3281349,17.9848095,Alvik
Coop Tranebergsvägen,supermarket,Matbutik,Tranebergsvägen,126,59.3354191,17.9694879,Ulvsunda
Lekplats,playground,Lekplats,Tunnlandsvägen,,59.3355526,17.94158,Åkeslund
Hemköp Bromma Ängby Torg,supermarket,Matbutik,Ängby torg,1,59.3469686,17.9086154,Norra Ängby
Rimiparken,playground,Lekplats,Rastvägen,,59.3290962,17.9120625,Nockebyhov
Nockebygrillen,fast_food,Restaurang & Snabbmat,Nockeby Kyrkväg,,59.3291831,17.9277933,Nockeby
Lekplatsen Skeden,playground,Lekplats,Åkeshovsvägen,,59.334029,17.9322402,Åkeslund
Lekplats,playground,Lekplats,Brålunden,,59.3313191,17.9301361,Nockeby
Lekplats,playground,Lekplats,Lillsjövägen,,59.3387368,17.9560295,Ulvsunda
Krua Charoen,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.3346632,17.9665761,Ulvsunda
Kaffekannan,playground,Lekplats,Grimstahamnsvägen,,59.3330794,17.9212214,Nockeby
Bensinmack,fuel,Bensinmack,Bergslagsvägen,,59.3462433,17.8940767,Södra Ängby
Systembolaget,alcohol,Systembolag,Ulvsundavägen,,59.3562551,17.9544105,Mariehäll
Lekplats,playground,Lekplats,Båtparken stig,,59.3395349,17.8971977,Södra Ängby
Blackebergs sjukhus,hospital,Sjukhus,Blackebergs Gårdsväg,41,59.3407915,17.880512,Bromma stadsdelsområde
Lekplats,playground,Lekplats,Tranebergs Strand,,59.3320825,17.9861251,Traneberg
Lekplats,playground,Lekplats,Penselgränd,,59.340241,17.8928267,Södra Ängby
Lekplats,playground,Lekplats,Enhörningsgränd,,59.3298094,17.9575759,Stora mossen
ICA Supermarket Bromma,supermarket,Matbutik,Spångavägen,172,59.3566441,17.9114325,Bromma kyrka
Skogsbo,cafe,Kafé,Ålstens Skogsväg,14,59.3141158,17.9621571,Smedslätten
Lekplats,playground,Lekplats,Alviksvägen,,59.3168096,17.9614102,Smedslätten
Lekplats,playground,Lekplats,Carl Larssons Väg,,59.3416716,17.8950606,Södra Ängby
Bromma Kebab,fast_food,Restaurang & Snabbmat,Köpsvängen,,59.3569646,17.9479992,Mariehäll
Lekplats,playground,Lekplats,Bällstavägen,,59.360565,17.948583,Mariehäll
Lekplats,playground,Lekplats,Adolfsbergsvägen,,59.358611,17.954015,Mariehäll
Blacken,playground,Lekplats,Grundtvigsgatan,,59.3443791,17.8868159,Blackeberg
Lekplats,playground,Lekplats,"Åkeshovs eljusspår 1,5 km",,59.3439671,17.9261828,Åkeshov
Lekplats,playground,Lekplats,Alpvägen,,59.3627427,17.9536003,Mariehäll
Bubbelparken,playground,Lekplats,Linabergsstigen,,59.3620025,17.9535551,Mariehäll
Kratsbodaparken,playground,Lekplats,Kratsbodavägen,,59.3593326,17.9551604,Mariehäll
Lekplats,playground,Lekplats,Fältmarskalksvägen,,59.3385488,17.9623984,Ulvsunda
Flintsågen,playground,Lekplats,Egilsvägen,,59.3453476,17.9154268,Norra Ängby
Lekplats,playground,Lekplats,Plommonvägen,,59.3600995,17.917102,Eneby
Halstret,playground,Lekplats,Anundsvägen,,59.3526779,17.8912414,Beckomberga
Circle K Råcksta,fuel,Bensinmack,Råckstavägen,2,59.3517426,17.8866268,Råcksta
CNG Bromma,fuel,Bensinmack,Drottningholmsvägen,490,59.3377949,17.9343005,Bromma
Lekplats,playground,Lekplats,Kyrkoherdevägen,,59.3580854,17.9122928,Eneby
Lekplats,playground,Lekplats,Västerledstorget,,59.3291833,17.9686729,Stora mossen
Lekplats,playground,Lekplats,Norlindsvägen,,59.3550133,17.9148699,Bromma kyrka
Lekplats,playground,Lekplats,Spångavägen,,59.3548906,17.9146004,Bromma kyrka
Lekplats,playground,Lekplats,Terserusvägen,,59.3551456,17.9152635,Bromma kyrka
Lekplats,playground,Lekplats,Plåtslagarvägen,,59.3361083,17.9512623,Abrahamsberg
Lekplats,playground,Lekplats,Gamla Bromstensvägen,,59.3658062,17.9319645,Bällsta
Lekplats,playground,Lekplats,Gamla Bromstensvägen,,59.3658947,17.9315475,Bällsta
Lekplats,playground,Lekplats,Ulvsunda Slottsväg,,59.3359572,17.9698093,Ulvsunda
Daisy's,fast_food,Restaurang & Snabbmat,Ulvsundavägen,69,59.3405556,17.9610049,Ulvsunda
Lekplats,playground,Lekplats,Tranebergsvägen,,59.3350013,17.9892837,Traneberg
Lekplats,playground,Lekplats,Porfyrvägen,,59.3351875,17.9885794,Traneberg
Lekplats,playground,Lekplats,Olovslundsvägen,,59.3301379,17.9398654,Olovslund
Lekplats,playground,Lekplats,Vidängsvägen,,59.3370409,17.9791944,Traneberg
Lekplats,playground,Lekplats,Vidängsvägen,,59.336901,17.9796752,Traneberg
Banthai Fastfood,restaurant,Restaurang & Snabbmat,Vidängsvägen,,59.3361837,17.9792432,Traneberg
Lekplats,playground,Lekplats,Sigrid Undsets gata,,59.3479467,17.8865396,Blackeberg
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3480883,17.8790937,Blackeberg
Lekplats,playground,Lekplats,Vidängsvägen,,59.3390112,17.9790893,Traneberg
Lekplats,playground,Lekplats,Johannesfredsvägen,,59.3464,17.9718022,Ulvsunda industriområde
Lekplats,playground,Lekplats,Strömkarlsvägen,,59.3204437,17.9736502,Smedslätten
Pissamai Thai Food,fast_food,Restaurang & Snabbmat,Björnsonsgatan,,59.3492096,17.8802923,Blackeberg
Lekplats,playground,Lekplats,Ibsengatan,,59.3498935,17.8791903,Blackeberg
Bromma sjukhus,hospital,Sjukhus,Follingbogatan,32,59.3589933,17.9000524,Beckomberga
Lekplats,playground,Lekplats,Basaltgränd,,59.3621232,17.9014376,Beckomberga
Lekplats,playground,Lekplats,Agatvägen,,59.3627753,17.9007351,Eneby
Lekplats,playground,Lekplats,Grundtvigsgatan,,59.3442181,17.8878757,Blackeberg
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3442311,17.8881535,Blackeberg
Lekplats,playground,Lekplats,Grundtvigsgatan,,59.344457,17.8874622,Blackeberg
Lekplats,playground,Lekplats,Arvid Mörnes väg,,59.3471618,17.8744826,Blackeberg
Lekplats,playground,Lekplats,Liljegrensvägen,,59.3491927,17.9015864,Norra Ängby
Lekplats,playground,Lekplats,Doktor Abrahams väg,,59.3555266,17.9232004,Bromma kyrka
Lekplats,playground,Lekplats,Bällstavägen,,59.3604986,17.9596633,Mariehäll
Klätterställningen,playground,Lekplats,Bällstavägen,,59.35625,17.9077124,Eneby
