Namn,Typ,Kategori,Gata,Nr,Lat,Lon
Kafé,cafe,Kafé,N/A,,59.2980588,17.9760594
Kronans Apotek,pharmacy,Apotek,N/A,,59.2750688,18.0130154
Puls och Träning,fitness_centre,Gym/Utomhusgym,N/A,,59.3061169,18.031891
itrim,fitness_centre,Gym/Utomhusgym,N/A,,59.3126201,18.0261071
Apoteket,pharmacy,Apotek,Älvsjö Torg,17A,59.2785746,18.0090219
Lekplats,playground,Lekplats,N/A,,59.286065,18.01502
Hinode Wok,fast_food,Restaurang & Snabbmat,Älvsjö Torg,15A,59.2786381,18.0093297
Systembolaget,alcohol,Systembolag,N/A,,59.2939589,18.0039519
Krubb,restaurant,Restaurang & Snabbmat,Telefonvägen,22,59.298455,17.9953077
CASA del LAGO,restaurant,Restaurang & Snabbmat,N/A,,59.2653194,17.9754574
Kafé,cafe,Kafé,N/A,,59.2653765,17.9753585
Lekplats,playground,Lekplats,N/A,,59.2689866,17.9699271
Herrängens gård,cafe,Kafé,Segeltorpsvägen,49-51,59.273165,17.9608766
Subway,fast_food,Restaurang & Snabbmat,Älvsjö Torg,13B,59.2786951,18.0094843
Wild Flower Bakehouse Café,cafe,Kafé,Kransbindarvägen 22,,59.3024732,18.001802
Jarla Trafikskola,driving_school,Trafikskola,Johan Skyttes Väg,189C,59.278502,18.0080988
Stenugnsbröd På Söder,cafe,Kafé,N/A,,59.3014783,18.0130327
Pizza,fast_food,Restaurang & Snabbmat,N/A,,59.2772451,17.9660733
Lekplats,playground,Lekplats,N/A,,59.2877577,18.0013176
Island Hoppers,restaurant,Restaurang & Snabbmat,N/A,,59.3055572,17.9826465
Pepe Rosso,fast_food,Restaurang & Snabbmat,Älvsjövägen,5,59.2777849,18.0060419
Grappolo D'uva,restaurant,Restaurang & Snabbmat,Älvsjö Torg,19A,59.2787636,18.0086926
Fitness24Seven,fitness_centre,Gym/Utomhusgym,N/A,,59.2760792,18.0139633
Thelins,cafe,Kafé,Johan Skyttes Väg,185,59.2787234,18.008594
WRAP'Z,restaurant,Restaurang & Snabbmat,Svandammsvägen,5,59.3018326,18.015297
Rosteriet,cafe,Kafé,N/A,,59.3119336,18.0239912
Marrakech Resturang,restaurant,Restaurang & Snabbmat,N/A,,59.3096235,18.030495
Via loreto,restaurant,Restaurang & Snabbmat,N/A,,59.3095015,18.0283179
Let's Eat Sushi,restaurant,Restaurang & Snabbmat,N/A,,59.3082152,18.0270286
MGL Sushi,restaurant,Restaurang & Snabbmat,N/A,,59.3072681,18.0268205
Tant Maja och Fröken Emilia,cafe,Kafé,N/A,,59.3081333,18.0272421
Blockriket,playground,Lekplats,N/A,,59.3048279,18.0358318
Sjöviks pizza & kebab,fast_food,Restaurang & Snabbmat,N/A,,59.3070687,18.0292022
Haandi,restaurant,Restaurang & Snabbmat,N/A,,59.3064883,18.0322898
Vår Pizza,restaurant,Restaurang & Snabbmat,N/A,,59.3059146,18.0011339
Pizzabagaren,fast_food,Restaurang & Snabbmat,N/A,,59.298133,18.0025128
Hanami Hawaiian Poké & Sushi,restaurant,Restaurang & Snabbmat,N/A,,59.3060444,18.0325963
Lilla Paradiset,fast_food,Restaurang & Snabbmat,N/A,,59.3055597,17.9890185
Apoteket,pharmacy,Apotek,N/A,,59.304169,17.9748559
ICA Supermarket Telefonplan,supermarket,Matbutik,Tellusborgsvägen,87,59.2966808,18.0014892
Brödernas,restaurant,Restaurang & Snabbmat,N/A,,59.3066191,18.0334682
Strong body & mind,fitness_centre,Gym/Utomhusgym,N/A,,59.3053163,18.0358886
Café Cul-De-Sac,cafe,Kafé,N/A,,59.316319,18.0163716
Del Mare,fast_food,Restaurang & Snabbmat,N/A,,59.3090971,18.0155531
Fitness24Seven,fitness_centre,Gym/Utomhusgym,N/A,,59.2855188,17.9646495
Systembolaget,alcohol,Systembolag,N/A,,59.3094674,18.0214651
Lekplats,playground,Lekplats,N/A,,59.295542,17.9655927
Biocafé Tellus,cafe,Kafé,N/A,,59.3019499,18.0075039
Thaimat Take Away,fast_food,Restaurang & Snabbmat,N/A,,59.3007035,17.957103
Bakom hörnet,restaurant,Restaurang & Snabbmat,N/A,,59.299527,18.0053741
Masahiro,fast_food,Restaurang & Snabbmat,N/A,,59.2982973,18.0026717
Lekplats,playground,Lekplats,N/A,,59.3012522,17.9939547
Bonne Femme,cafe,Kafé,N/A,,59.3062326,18.0008701
Saigon House,restaurant,Restaurang & Snabbmat,N/A,,59.3056332,17.9983257
Körkortshuset,driving_school,Trafikskola,N/A,,59.3099318,18.0250845
Liljeholmens bilskola,driving_school,Trafikskola,N/A,,59.3105393,18.0221584
Sushi by Rino,restaurant,Restaurang & Snabbmat,Svartlösavägen,52,59.2842313,17.9855051
Lekplats,playground,Lekplats,N/A,,59.2788513,17.9941093
Parkfiken,cafe,Kafé,N/A,,59.3076579,17.9949017
Prepp,cafe,Kafé,N/A,,59.310603,18.0297263
Furellios Ristorante,restaurant,Restaurang & Snabbmat,N/A,,59.3025113,17.994733
Bonne Femme Stenungsbageri,cafe,Kafé,N/A,,59.2995714,18.0041699
Xi'an Köket,restaurant,Restaurang & Snabbmat,N/A,,59.3024092,17.994269
Lekplats,playground,Lekplats,N/A,,59.3032597,17.9905437
A.B.Café,cafe,Kafé,Valborgsmässovägen,34,59.2995931,17.998632
NIDa Catering och festvåning,restaurant,Restaurang & Snabbmat,N/A,,59.3100886,18.03051
STC,fitness_centre,Gym/Utomhusgym,Ingenjörsvägen,4,59.3063503,18.0256674
Texas Longhorn,restaurant,Restaurang & Snabbmat,Götalandsvägen,238,59.2801143,18.00389
800 Grader,restaurant,Restaurang & Snabbmat,Cedergrensvägen,2,59.3034407,18.002799
Distriktstandvården Liljeholmen,dentist,Tandläkare,N/A,,59.309844,18.021877
Solbergaskogens utegym,fitness_station,Gym/Utomhusgym,N/A,,59.2853453,18.005873
Teso Sushi,restaurant,Restaurang & Snabbmat,Kabelverksgatan,16,59.2823244,18.0028619
Oh Poké,fast_food,Restaurang & Snabbmat,N/A,,59.2796169,18.0120045
Solbrännans utegym,fitness_station,Gym/Utomhusgym,N/A,,59.2819949,18.0153827
Systembolaget,alcohol,Systembolag,Älvsjö Ängsväg,2-6,59.275255,18.0128234
Lubnan Kajen,restaurant,Restaurang & Snabbmat,N/A,,59.3061152,18.0354217
SATS Liljeholmstorget,fitness_centre,Gym/Utomhusgym,N/A,,59.309834,18.022026
