Namn,Typ,Kategori,Gata,Nr,Lat,Lon
Kompir,restaurant,Restaurang & Snabbmat,N/A,,59.3514662,17.8998872
Maji,restaurant,Restaurang & Snabbmat,N/A,,59.3512818,17.9002803
Fotvårds Kliniken,doctor,Vårdcentral,N/A,,59.3515469,17.8997241
Brommagymnasterna,physiotherapist,Fysioterapeut,N/A,,59.3347889,17.9514352
Pizzeria Kaktusen,restaurant,Restaurang & Snabbmat,N/A,,59.3376357,17.9522899
Medstore,pharmacy,Apotek,N/A,,59.3411605,17.9443373
Polonez Cafe & Deli,cafe,Kafé,N/A,,59.3397115,17.9381491
Tandläkare,dentist,Tandläkare,N/A,,59.3351158,17.9688271
PWR GYM,fitness_centre,Gym/Utomhusgym,N/A,,59.3639406,17.9501675
Ruccola,restaurant,Restaurang & Snabbmat,N/A,,59.3605064,17.9547529
Sushi Dumplings,restaurant,Restaurang & Snabbmat,N/A,,59.3627067,17.9501658
Italgotti,restaurant,Restaurang & Snabbmat,N/A,,59.364388,17.9510147
Di Manzo,restaurant,Restaurang & Snabbmat,N/A,,59.3626378,17.9507768
Café Lilla Hörnan,cafe,Kafé,N/A,,59.3565575,17.9594494
Damas,restaurant,Restaurang & Snabbmat,N/A,,59.345331,17.9718496
Sweet Chili,restaurant,Restaurang & Snabbmat,N/A,,59.3531098,17.9587026
Fotia Kliniken,doctor,Vårdcentral,N/A,,59.3318908,17.9834316
Banthai Fastfood,fast_food,Restaurang & Snabbmat,N/A,,59.3361589,17.9792137
Tandläkare,dentist,Tandläkare,N/A,,59.3333043,17.9785204
Deli Molinari,restaurant,Restaurang & Snabbmat,N/A,,59.3350001,17.9795483
Munlyckan,dentist,Tandläkare,N/A,,59.3327994,17.9783979
You Train,fitness_centre,Gym/Utomhusgym,N/A,,59.338091,17.9804192
Alviks Grillen,restaurant,Restaurang & Snabbmat,N/A,,59.3329242,17.9794225
Hemma Hos Annika,restaurant,Restaurang & Snabbmat,N/A,,59.3474854,17.9004738
Lekplats,playground,Lekplats,N/A,,59.3302896,17.9454151
Lekplats,playground,Lekplats,N/A,,59.3437051,17.8741436
OKQ8 Bromma Flygplats/Solvalla,fuel,Bensinmack,Cumulusvägen,3,59.3610885,17.9408544
Distriktstandvården Ålsten,dentist,Tandläkare,Ålstensgatan,14,59.3239757,17.9565442
Brommatandläkarna,dentist,Tandläkare,N/A,,59.3334499,17.9242
Capresi,restaurant,Restaurang & Snabbmat,N/A,,59.3560405,17.9551351
Marolla,restaurant,Restaurang & Snabbmat,Västerledstorget,3,59.329357,17.9681518
Vietsmak,restaurant,Restaurang & Snabbmat,Bällstavägen,205,59.3562527,17.9103006
Shell,fuel,Bensinmack,Ulvsundavägen,71,59.340805,17.9611842
Stora Coop Bromma,supermarket,Matbutik,Ulvsundavägen,189,59.3565785,17.9530154
Willys Stockholm Bromma,supermarket,Matbutik,Ulvsundavägen,189E,59.3570495,17.9505295
OKQ8 Bromma,fuel,Bensinmack,Brommaplan,408,59.3405266,17.940107
Hemköp Garpes,supermarket,Matbutik,Sobelgränd,4,59.3289709,17.9563616
Grill,restaurant,Restaurang & Snabbmat,N/A,,59.34216,17.9070437
Sjöpaviljongen,restaurant,Restaurang & Snabbmat,N/A,,59.3316151,17.9862842
Alviksgrillen,fast_food,Restaurang & Snabbmat,Gustavslundsvägen,166,59.332954,17.9793659
Kalaset Strand,restaurant,Restaurang & Snabbmat,N/A,,59.3281349,17.9848095
Coop Tranebergsvägen,supermarket,Matbutik,Tranebergsvägen,126,59.3354191,17.9694879
Lekplats,playground,Lekplats,N/A,,59.3355526,17.94158
Hemköp Bromma Ängby Torg,supermarket,Matbutik,Vultejusvägen,29,59.3469686,17.9086154
Rimiparken,playground,Lekplats,N/A,,59.3290962,17.9120625
Nockebygrillen,fast_food,Restaurang & Snabbmat,N/A,,59.3291831,17.9277933
Lekplatsen Skeden,playground,Lekplats,N/A,,59.334029,17.9322402
Lekplats,playground,Lekplats,N/A,,59.3313191,17.9301361
Lekplats,playground,Lekplats,N/A,,59.3387368,17.9560295
Krua Charoen,restaurant,Restaurang & Snabbmat,N/A,,59.3346632,17.9665761
Kaffekannan,playground,Lekplats,N/A,,59.3330794,17.9212214
Bensinmack,fuel,Bensinmack,N/A,,59.3462433,17.8940767
Systembolaget,alcohol,Systembolag,N/A,,59.3562551,17.9544105
Lekplats,playground,Lekplats,N/A,,59.3395349,17.8971977
Blackebergs sjukhus,hospital,Sjukhus,N/A,,59.3407915,17.880512
Lekplats,playground,Lekplats,N/A,,59.3320825,17.9861251
Lekplats,playground,Lekplats,N/A,,59.340241,17.8928267
Lekplats,playground,Lekplats,N/A,,59.3298094,17.9575759
ICA Supermarket Bromma,supermarket,Matbutik,Spångavägen,172,59.3566441,17.9114325
Skogsbo,cafe,Kafé,N/A,,59.3141158,17.9621571
Lekplats,playground,Lekplats,N/A,,59.3168096,17.9614102
Lekplats,playground,Lekplats,N/A,,59.3416716,17.8950606
Bromma Kebab,fast_food,Restaurang & Snabbmat,N/A,,59.3569646,17.9479992
Lekplats,playground,Lekplats,N/A,,59.360565,17.948583
Lekplats,playground,Lekplats,N/A,,59.358611,17.954015
Blacken,playground,Lekplats,N/A,,59.3443791,17.8868159
Lekplats,playground,Lekplats,N/A,,59.3439671,17.9261828
Lekplats,playground,Lekplats,N/A,,59.3627427,17.9536003
Bubbelparken,playground,Lekplats,N/A,,59.3620025,17.9535551
Kratsbodaparken,playground,Lekplats,N/A,,59.3593326,17.9551604
Lekplats,playground,Lekplats,N/A,,59.3385488,17.9623984
Flintsågen,playground,Lekplats,N/A,,59.3453476,17.9154268
Lekplats,playground,Lekplats,N/A,,59.3600995,17.917102
Halstret,playground,Lekplats,N/A,,59.3526779,17.8912414
Circle K Råcksta,fuel,Bensinmack,Råckstavägen,2,59.3517426,17.8866268
CNG Bromma,fuel,Bensinmack,Drottningholmsvägen,490,59.3377949,17.9343005
Lekplats,playground,Lekplats,N/A,,59.3580854,17.9122928
Lekplats,playground,Lekplats,N/A,,59.3291833,17.9686729
Lekplats,playground,Lekplats,N/A,,59.3550133,17.9148699
Lekplats,playground,Lekplats,N/A,,59.3548906,17.9146004
Lekplats,playground,Lekplats,N/A,,59.3551456,17.9152635
Lekplats,playground,Lekplats,N/A,,59.3361083,17.9512623
Lekplats,playground,Lekplats,N/A,,59.3658062,17.9319645
Lekplats,playground,Lekplats,N/A,,59.3658947,17.9315475
Lekplats,playground,Lekplats,N/A,,59.3359572,17.9698093
Daisy's,fast_food,Restaurang & Snabbmat,N/A,,59.3405556,17.9610049
Lekplats,playground,Lekplats,N/A,,59.3350013,17.9892837
Lekplats,playground,Lekplats,N/A,,59.3351875,17.9885794
Lekplats,playground,Lekplats,N/A,,59.3301379,17.9398654
Lekplats,playground,Lekplats,N/A,,59.3370409,17.9791944
Lekplats,playground,Lekplats,N/A,,59.336901,17.9796752
Banthai Fastfood,restaurant,Restaurang & Snabbmat,Vidängsvägen,12,59.3361837,17.9792432
Lekplats,playground,Lekplats,N/A,,59.3479467,17.8865396
Lekplats,playground,Lekplats,N/A,,59.3480883,17.8790937
Lekplats,playground,Lekplats,N/A,,59.3390112,17.9790893
Lekplats,playground,Lekplats,N/A,,59.3464,17.9718022
Lekplats,playground,Lekplats,N/A,,59.3204437,17.9736502
Pissamai Thai Food,fast_food,Restaurang & Snabbmat,Björnsonsgatan,307,59.3492096,17.8802923
Lekplats,playground,Lekplats,N/A,,59.3498935,17.8791903
Bromma sjukhus,hospital,Sjukhus,Follingbogatan,32,59.3589933,17.9000524
Lekplats,playground,Lekplats,N/A,,59.3621232,17.9014376
Lekplats,playground,Lekplats,N/A,,59.3627753,17.9007351
Lekplats,playground,Lekplats,N/A,,59.3442181,17.8878757
Lekplats,playground,Lekplats,N/A,,59.3442311,17.8881535
Lekplats,playground,Lekplats,N/A,,59.344457,17.8874622
Lekplats,playground,Lekplats,N/A,,59.3471618,17.8744826
Lekplats,playground,Lekplats,N/A,,59.3491927,17.9015864
Lekplats,playground,Lekplats,N/A,,59.3555266,17.9232004
Lekplats,playground,Lekplats,N/A,,59.3604986,17.9596633
Klätterställningen,playground,Lekplats,N/A,,59.35625,17.9077124
Gungorna,playground,Lekplats,N/A,,59.3554141,17.9064061
Röda,playground,Lekplats,N/A,,59.3576513,17.9061278
Lekparken,playground,Lekplats,N/A,,59.357505,17.9076272
Runda,playground,Lekplats,N/A,,59.3569141,17.9081415
Klätterställningen,playground,Lekplats,N/A,,59.3604482,17.900692
Lekplats,playground,Lekplats,N/A,,59.3569531,17.9029208
Lekplats,playground,Lekplats,N/A,,59.3321385,17.9746753
Lillsjöns utegym,fitness_station,Gym/Utomhusgym,N/A,,59.341955,17.9533817
Lekplats,playground,Lekplats,N/A,,59.3382888,17.9307205
Pilspetsen,playground,Lekplats,N/A,,59.3463961,17.9072244
Lekplats,playground,Lekplats,N/A,,59.3565447,17.9025092
Lekplats,playground,Lekplats,N/A,,59.3570767,17.9024506
Stenlabyrint,playground,Lekplats,N/A,,59.3609893,17.900692
Lekparken Operetten,playground,Lekplats,N/A,,59.3287285,17.9348156
ChopChop Asian Express,restaurant,Restaurang & Snabbmat,Ulvsundavägen,191B,59.3553016,17.9526324
KFC,fast_food,Restaurang & Snabbmat,Ulvsundavägen,191C,59.3554815,17.9520125
Pizza Hut,restaurant,Restaurang & Snabbmat,Ulvsundavägen,191 D,59.3556839,17.9514308
Lekplats,playground,Lekplats,N/A,,59.3428394,17.9215653
Lekplats,playground,Lekplats,N/A,,59.3430163,17.9219531
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.3427563,17.9305386
Lekplats,playground,Lekplats,N/A,,59.3429567,17.9207375
Lekplats,playground,Lekplats,N/A,,59.3398847,17.9429916
Galonparken,playground,Lekplats,N/A,,59.3402899,17.9469614
Lekplats,playground,Lekplats,N/A,,59.3408045,17.9375364
Lekplats,playground,Lekplats,N/A,,59.3486093,17.8779232
Lekplats,playground,Lekplats,N/A,,59.3639759,17.9526942
Circle K,fuel,Bensinmack,N/A,,59.351782,17.886488
Lekplats,playground,Lekplats,N/A,,59.3441123,17.8865127
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.3288471,17.9640062
Ängbybadet lekplats,playground,Lekplats,N/A,,59.3366757,17.8987654
Lekplats,playground,Lekplats,N/A,,59.335594,17.9334947
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.3617969,17.9514533
Lekplats,playground,Lekplats,N/A,,59.3486069,17.8805094
Lekplats,playground,Lekplats,N/A,,59.3484471,17.9737821
Lekplats,playground,Lekplats,N/A,,59.3475138,17.9717403
Lekplats,playground,Lekplats,N/A,,59.343095,17.9611018
Solviks utegym,fitness_station,Gym/Utomhusgym,N/A,,59.3155618,17.9663149
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.331536,17.9855691
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.3295319,17.9136478
Lekplats,playground,Lekplats,N/A,,59.3456536,17.9750334
Lekplats,playground,Lekplats,N/A,,59.3455396,17.9718453
Lekplats,playground,Lekplats,N/A,,59.3450769,17.9738385
Lekplats,playground,Lekplats,N/A,,59.3454695,17.9723554
Lekplats,playground,Lekplats,N/A,,59.3443887,17.9408692
Lekplats,playground,Lekplats,N/A,,59.3591507,17.9555672
Lekplats,playground,Lekplats,N/A,,59.359318,17.954757
Lekplats,playground,Lekplats,N/A,,59.3594289,17.9547097
Lekplats,playground,Lekplats,N/A,,59.3620515,17.9535895
Lekplats,playground,Lekplats,N/A,,59.3621188,17.953856
Lekplats,playground,Lekplats,N/A,,59.3619661,17.9532735
Lekplats,playground,Lekplats,N/A,,59.3621122,17.9538933
Lekplats,playground,Lekplats,N/A,,59.3621558,17.9538113
Lekplats,playground,Lekplats,N/A,,59.3631834,17.9493822
Lekplats,playground,Lekplats,N/A,,59.3632078,17.9495308
Lekplats,playground,Lekplats,N/A,,59.3631328,17.949495
Lekplats,playground,Lekplats,N/A,,59.3631964,17.9492479
Lekplats,playground,Lekplats,N/A,,59.3632177,17.9495763
Lekplats,playground,Lekplats,N/A,,59.3633327,17.9474769
Lekplats,playground,Lekplats,N/A,,59.3634194,17.9473281
Lekplats,playground,Lekplats,N/A,,59.3583515,17.9529108
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.3456372,17.8783771
Snurran,playground,Lekplats,N/A,,59.3184994,17.9544361
Sushiparken,playground,Lekplats,N/A,,59.3582993,17.9040448
Lekplatsen Bågen,playground,Lekplats,N/A,,59.3226674,17.9548923
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.340791,17.9068068
