Region,Statistikområde,Upplatelseform,ContentsCode,Tid,value,stadsdelsomrade
0180R039_RegSO2025,Hässelby Gård,bostadsrätt,Antal,2024,1012,N/A
0180R039_RegSO2025,Hässelby Gård,äganderätt,Antal,2024,320,N/A
0180R039_RegSO2025,Hässelby Gård,uppgift saknas,Antal,2024,0,N/A
0180R040_RegSO2025,Hässelby Strand,hyresrätt,Antal,2024,3008,N/A
0180R040_RegSO2025,Hässelby Strand,bostadsrätt,Antal,2024,1654,N/A
0180R040_RegSO2025,Hässelby Strand,äganderätt,Antal,2024,0,N/A
0180R040_RegSO2025,Hässelby Strand,uppgift saknas,Antal,2024,0,N/A
0180R041_RegSO2025,Hässelby Villastad,hyresrätt,Antal,2024,1481,N/A
0180R041_RegSO2025,Hässelby Villastad,bostadsrätt,Antal,2024,758,N/A
0180R041_RegSO2025,Hässelby Villastad,äganderätt,Antal,2024,4751,N/A
0180R041_RegSO2025,Hässelby Villastad,uppgift saknas,Antal,2024,0,N/A
0180R042_RegSO2025,Högdalen,hyresrätt,Antal,2024,3078,N/A
0180R042_RegSO2025,Högdalen,bostadsrätt,Antal,2024,2436,N/A
0180R042_RegSO2025,Högdalen,äganderätt,Antal,2024,303,N/A
0180R042_RegSO2025,Högdalen,uppgift saknas,Antal,2024,0,N/A
0180R043_RegSO2025,Höglandet,hyresrätt,Antal,2024,45,Bromma
0180R043_RegSO2025,Höglandet,bostadsrätt,Antal,2024,67,Bromma
0180R043_RegSO2025,Höglandet,äganderätt,Antal,2024,366,Bromma
0180R043_RegSO2025,Höglandet,uppgift saknas,Antal,2024,0,Bromma
0180R044_RegSO2025,Hökarängen,hyresrätt,Antal,2024,4531,N/A
0180R044_RegSO2025,Hökarängen,bostadsrätt,Antal,2024,1137,N/A
0180R044_RegSO2025,Hökarängen,äganderätt,Antal,2024,91,N/A
0180R044_RegSO2025,Hökarängen,uppgift saknas,Antal,2024,0,N/A
0180R045_RegSO2025,Johanneshov,hyresrätt,Antal,2024,2259,N/A
0180R045_RegSO2025,Johanneshov,bostadsrätt,Antal,2024,2125,N/A
0180R045_RegSO2025,Johanneshov,äganderätt,Antal,2024,1,N/A
0180R045_RegSO2025,Johanneshov,uppgift saknas,Antal,2024,0,N/A
0180R046_RegSO2025,Kista,hyresrätt,Antal,2024,2994,N/A
0180R046_RegSO2025,Kista,bostadsrätt,Antal,2024,3979,N/A
0180R046_RegSO2025,Kista,äganderätt,Antal,2024,482,N/A
0180R046_RegSO2025,Kista,uppgift saknas,Antal,2024,0,N/A
0180R047_RegSO2025,Klara-Jacob,hyresrätt,Antal,2024,828,N/A
0180R047_RegSO2025,Klara-Jacob,bostadsrätt,Antal,2024,564,N/A
0180R047_RegSO2025,Klara-Jacob,äganderätt,Antal,2024,0,N/A
0180R047_RegSO2025,Klara-Jacob,uppgift saknas,Antal,2024,0,N/A
0180R048_RegSO2025,Kristineberg,hyresrätt,Antal,2024,1355,N/A
0180R048_RegSO2025,Kristineberg,bostadsrätt,Antal,2024,3243,N/A
0180R048_RegSO2025,Kristineberg,äganderätt,Antal,2024,0,N/A
0180R048_RegSO2025,Kristineberg,uppgift saknas,Antal,2024,0,N/A
0180R049_RegSO2025,Kungsholm,hyresrätt,Antal,2024,3067,N/A
0180R049_RegSO2025,Kungsholm,bostadsrätt,Antal,2024,9572,N/A
0180R049_RegSO2025,Kungsholm,äganderätt,Antal,2024,0,N/A
0180R049_RegSO2025,Kungsholm,uppgift saknas,Antal,2024,0,N/A
0180R050_RegSO2025,Kälvesta,hyresrätt,Antal,2024,3,N/A
0180R050_RegSO2025,Kälvesta,bostadsrätt,Antal,2024,5,N/A
0180R050_RegSO2025,Kälvesta,äganderätt,Antal,2024,1451,N/A
0180R050_RegSO2025,Kälvesta,uppgift saknas,Antal,2024,0,N/A
0180R051_RegSO2025,Kärrtorp,hyresrätt,Antal,2024,1787,N/A
0180R051_RegSO2025,Kärrtorp,bostadsrätt,Antal,2024,1297,N/A
0180R051_RegSO2025,Kärrtorp,äganderätt,Antal,2024,15,N/A
0180R051_RegSO2025,Kärrtorp,uppgift saknas,Antal,2024,0,N/A
0180R052_RegSO2025,Larsboda,hyresrätt,Antal,2024,198,N/A
0180R052_RegSO2025,Larsboda,bostadsrätt,Antal,2024,891,N/A
0180R052_RegSO2025,Larsboda,äganderätt,Antal,2024,133,N/A
0180R052_RegSO2025,Larsboda,uppgift saknas,Antal,2024,0,N/A
0180R053_RegSO2025,Liljeholmen,hyresrätt,Antal,2024,2199,Hägersten-Älvsjö
0180R053_RegSO2025,Liljeholmen,bostadsrätt,Antal,2024,6167,Hägersten-Älvsjö
0180R053_RegSO2025,Liljeholmen,äganderätt,Antal,2024,227,Hägersten-Älvsjö
0180R053_RegSO2025,Liljeholmen,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R054_RegSO2025,Lilla Essingen,hyresrätt,Antal,2024,1017,N/A
0180R054_RegSO2025,Lilla Essingen,bostadsrätt,Antal,2024,2080,N/A
0180R054_RegSO2025,Lilla Essingen,äganderätt,Antal,2024,0,N/A
0180R054_RegSO2025,Lilla Essingen,uppgift saknas,Antal,2024,0,N/A
0180R055_RegSO2025,Liseberg,hyresrätt,Antal,2024,401,Hägersten-Älvsjö
0180R055_RegSO2025,Liseberg,bostadsrätt,Antal,2024,132,Hägersten-Älvsjö
0180R055_RegSO2025,Liseberg,äganderätt,Antal,2024,257,Hägersten-Älvsjö
0180R055_RegSO2025,Liseberg,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R056_RegSO2025,Långbro,hyresrätt,Antal,2024,575,Hägersten-Älvsjö
0180R056_RegSO2025,Långbro,bostadsrätt,Antal,2024,1086,Hägersten-Älvsjö
0180R056_RegSO2025,Långbro,äganderätt,Antal,2024,1370,Hägersten-Älvsjö
0180R056_RegSO2025,Långbro,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R057_RegSO2025,Långsjö,hyresrätt,Antal,2024,36,Hägersten-Älvsjö
0180R057_RegSO2025,Långsjö,bostadsrätt,Antal,2024,70,Hägersten-Älvsjö
0180R057_RegSO2025,Långsjö,äganderätt,Antal,2024,835,Hägersten-Älvsjö
0180R057_RegSO2025,Långsjö,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R058_RegSO2025,Mariatorget,hyresrätt,Antal,2024,3685,N/A
0180R058_RegSO2025,Mariatorget,bostadsrätt,Antal,2024,5015,N/A
0180R058_RegSO2025,Mariatorget,äganderätt,Antal,2024,0,N/A
0180R058_RegSO2025,Mariatorget,uppgift saknas,Antal,2024,0,N/A
0180R059_RegSO2025,Marieberg,hyresrätt,Antal,2024,289,N/A
0180R059_RegSO2025,Marieberg,bostadsrätt,Antal,2024,1668,N/A
0180R059_RegSO2025,Marieberg,äganderätt,Antal,2024,0,N/A
0180R059_RegSO2025,Marieberg,uppgift saknas,Antal,2024,0,N/A
0180R060_RegSO2025,Mariehäll,hyresrätt,Antal,2024,1791,Bromma
0180R060_RegSO2025,Mariehäll,bostadsrätt,Antal,2024,3055,Bromma
0180R060_RegSO2025,Mariehäll,äganderätt,Antal,2024,109,Bromma
0180R060_RegSO2025,Mariehäll,uppgift saknas,Antal,2024,0,Bromma
0180R061_RegSO2025,Mellersta Högalid,hyresrätt,Antal,2024,3129,N/A
0180R061_RegSO2025,Mellersta Högalid,bostadsrätt,Antal,2024,3609,N/A
0180R061_RegSO2025,Mellersta Högalid,äganderätt,Antal,2024,0,N/A
0180R061_RegSO2025,Mellersta Högalid,uppgift saknas,Antal,2024,0,N/A
0180R062_RegSO2025,Midsommarkransen,hyresrätt,Antal,2024,2739,Hägersten-Älvsjö
0180R062_RegSO2025,Midsommarkransen,bostadsrätt,Antal,2024,4360,Hägersten-Älvsjö
0180R062_RegSO2025,Midsommarkransen,äganderätt,Antal,2024,11,Hägersten-Älvsjö
0180R062_RegSO2025,Midsommarkransen,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R063_RegSO2025,Mälarhöjden,hyresrätt,Antal,2024,82,Hägersten-Älvsjö
0180R063_RegSO2025,Mälarhöjden,bostadsrätt,Antal,2024,433,Hägersten-Älvsjö
0180R063_RegSO2025,Mälarhöjden,äganderätt,Antal,2024,981,Hägersten-Älvsjö
0180R063_RegSO2025,Mälarhöjden,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R064_RegSO2025,Nockeby,hyresrätt,Antal,2024,494,Bromma
0180R064_RegSO2025,Nockeby,bostadsrätt,Antal,2024,335,Bromma
0180R064_RegSO2025,Nockeby,äganderätt,Antal,2024,594,Bromma
0180R064_RegSO2025,Nockeby,uppgift saknas,Antal,2024,0,Bromma
0180R065_RegSO2025,Nockebyhov-Olovslund,hyresrätt,Antal,2024,635,N/A
0180R065_RegSO2025,Nockebyhov-Olovslund,bostadsrätt,Antal,2024,603,N/A
0180R065_RegSO2025,Nockebyhov-Olovslund,äganderätt,Antal,2024,609,N/A
0180R065_RegSO2025,Nockebyhov-Olovslund,uppgift saknas,Antal,2024,0,N/A
0180R066_RegSO2025,Norra Adolf Fredrik,hyresrätt,Antal,2024,674,N/A
0180R066_RegSO2025,Norra Adolf Fredrik,bostadsrätt,Antal,2024,1837,N/A
0180R066_RegSO2025,Norra Adolf Fredrik,äganderätt,Antal,2024,0,N/A
0180R066_RegSO2025,Norra Adolf Fredrik,uppgift saknas,Antal,2024,0,N/A
0180R067_RegSO2025,Norra Högalid,hyresrätt,Antal,2024,4093,N/A
0180R067_RegSO2025,Norra Högalid,bostadsrätt,Antal,2024,5504,N/A
0180R067_RegSO2025,Norra Högalid,äganderätt,Antal,2024,1,N/A
0180R067_RegSO2025,Norra Högalid,uppgift saknas,Antal,2024,0,N/A
0180R068_RegSO2025,Norra Johannes,hyresrätt,Antal,2024,1908,N/A
0180R068_RegSO2025,Norra Johannes,bostadsrätt,Antal,2024,3997,N/A
0180R068_RegSO2025,Norra Johannes,äganderätt,Antal,2024,0,N/A
0180R068_RegSO2025,Norra Johannes,uppgift saknas,Antal,2024,0,N/A
0180R069_RegSO2025,Norra Skarpnäcks Gård,hyresrätt,Antal,2024,1256,N/A
0180R069_RegSO2025,Norra Skarpnäcks Gård,bostadsrätt,Antal,2024,1324,N/A
0180R069_RegSO2025,Norra Skarpnäcks Gård,äganderätt,Antal,2024,477,N/A
0180R069_RegSO2025,Norra Skarpnäcks Gård,uppgift saknas,Antal,2024,0,N/A
0180R070_RegSO2025,Norra Sofia,hyresrätt,Antal,2024,2495,N/A
0180R070_RegSO2025,Norra Sofia,bostadsrätt,Antal,2024,2743,N/A
0180R070_RegSO2025,Norra Sofia,äganderätt,Antal,2024,0,N/A
0180R070_RegSO2025,Norra Sofia,uppgift saknas,Antal,2024,0,N/A
0180R071_RegSO2025,Norra Ängby,hyresrätt,Antal,2024,797,Bromma
0180R071_RegSO2025,Norra Ängby,bostadsrätt,Antal,2024,361,Bromma
0180R071_RegSO2025,Norra Ängby,äganderätt,Antal,2024,1499,Bromma
0180R071_RegSO2025,Norra Ängby,uppgift saknas,Antal,2024,0,Bromma
0180R072_RegSO2025,Nälsta,hyresrätt,Antal,2024,230,N/A
0180R072_RegSO2025,Nälsta,bostadsrätt,Antal,2024,173,N/A
0180R072_RegSO2025,Nälsta,äganderätt,Antal,2024,1295,N/A
0180R072_RegSO2025,Nälsta,uppgift saknas,Antal,2024,0,N/A
0180R073_RegSO2025,Oscars kyrka,hyresrätt,Antal,2024,2291,N/A
0180R073_RegSO2025,Oscars kyrka,bostadsrätt,Antal,2024,7718,N/A
0180R073_RegSO2025,Oscars kyrka,äganderätt,Antal,2024,7,N/A
0180R073_RegSO2025,Oscars kyrka,uppgift saknas,Antal,2024,0,N/A
0180R074_RegSO2025,Reimersholme-Långholmen,hyresrätt,Antal,2024,238,N/A
0180R074_RegSO2025,Reimersholme-Långholmen,bostadsrätt,Antal,2024,1340,N/A
0180R074_RegSO2025,Reimersholme-Långholmen,äganderätt,Antal,2024,1,N/A
0180R074_RegSO2025,Reimersholme-Långholmen,uppgift saknas,Antal,2024,0,N/A
0180R075_RegSO2025,Riksby-Åkeshov,hyresrätt,Antal,2024,667,N/A
0180R075_RegSO2025,Riksby-Åkeshov,bostadsrätt,Antal,2024,2759,N/A
0180R075_RegSO2025,Riksby-Åkeshov,äganderätt,Antal,2024,4,N/A
0180R075_RegSO2025,Riksby-Åkeshov,uppgift saknas,Antal,2024,0,N/A
0180R076_RegSO2025,Rinkeby,hyresrätt,Antal,2024,5474,N/A
0180R076_RegSO2025,Rinkeby,bostadsrätt,Antal,2024,270,N/A
0180R076_RegSO2025,Rinkeby,äganderätt,Antal,2024,139,N/A
0180R076_RegSO2025,Rinkeby,uppgift saknas,Antal,2024,0,N/A
0180R077_RegSO2025,Råcksta,hyresrätt,Antal,2024,3179,Bromma
0180R077_RegSO2025,Råcksta,bostadsrätt,Antal,2024,1551,Bromma
0180R077_RegSO2025,Råcksta,äganderätt,Antal,2024,298,Bromma
0180R077_RegSO2025,Råcksta,uppgift saknas,Antal,2024,0,Bromma
0180R078_RegSO2025,Rågsved,hyresrätt,Antal,2024,4132,N/A
0180R078_RegSO2025,Rågsved,bostadsrätt,Antal,2024,1407,N/A
0180R078_RegSO2025,Rågsved,äganderätt,Antal,2024,0,N/A
0180R078_RegSO2025,Rågsved,uppgift saknas,Antal,2024,0,N/A
0180R079_RegSO2025,Skärholmen,hyresrätt,Antal,2024,2034,N/A
0180R079_RegSO2025,Skärholmen,bostadsrätt,Antal,2024,1108,N/A
0180R079_RegSO2025,Skärholmen,äganderätt,Antal,2024,541,N/A
