gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Västertorpsvägen,Puckgränd 8,Västertorp,Hägersten,Reserverad p-plats rörelsehindrad,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2026-02-05T23:00:00Z,,,,,,,,17.972754,59.290581,rörelsehindrade,0180 2026-00387,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2026&LopNr=00387
Hägerstensvägen,Hägerstensvägen 248,Hägersten,Hägersten,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2023-11-07T23:00:00Z,,,,,,,,17.975438,59.303695,fordon,0180 2023-04371,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2023&LopNr=04371
Tomträttsvägen,Tomträttsvägen 4 - 21,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2024-07-24T22:00:00Z,5,10,16,31,,,,17.982426,59.295615,fordon,0180 2024-02693,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=02693
Tomträttsvägen,Tomträttsvägen 4 - 21,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2024-07-24T22:00:00Z,11,5,1,15,1600,800,tisdag,17.982426,59.295615,fordon,0180 2024-02693,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=02693
Tomträttsvägen,Tomträttsvägen 4 - 21,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2024-07-24T22:00:00Z,5,10,16,31,,,,17.982426,59.295615,fordon,0180 2024-02693,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=02693
Tomträttsvägen,Tomträttsvägen 4 - 21,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2024-07-24T22:00:00Z,11,5,1,15,1600,800,tisdag,17.982426,59.295615,fordon,0180 2024-02693,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=02693
Inteckningsvägen,Inteckningsvägen 103,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-09-26T22:00:00Z,5,10,16,31,,,,17.980559,59.295012,fordon,0180 2024-02184,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=02184
Inteckningsvägen,Inteckningsvägen 103,Hägerstensåsen,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-09-26T22:00:00Z,11,5,1,15,1600,800,fredag,17.980559,59.295012,fordon,0180 2024-02184,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=02184
Sankt Mickelsgatan,Sankt Mickelsgatan 101 - 107,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,5,10,16,31,,,,17.963819,59.299455,fordon,0180 2024-00355,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00355
Sankt Mickelsgatan,Sankt Mickelsgatan 101 - 107,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid fredag 08:00-16:00 1/11 - 15/5,2024-03-13T23:00:00Z,11,5,1,15,1600,800,fredag,17.963819,59.299455,fordon,0180 2024-00355,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00355
