gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Abrahamsbergsvägen,Abrahamsbergsvägen 81 - 87,Abrahamsberg,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,5,10,16,31,,,,17.946939,59.3306,fordon,0180 2017-01427,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=01427
Grimstahamnsvägen,Grimstahamnsvägen 37 - 23,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,5,10,16,31,,,,17.920869,59.332361,fordon,0180 2017-00613,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00613
Abrahamsbergsvägen,Abrahamsbergsvägen 81 - 87,Abrahamsberg,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,11,5,1,15,1600,800,måndag,17.946939,59.3306,fordon,0180 2017-01427,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=01427
Grimstahamnsvägen,Grimstahamnsvägen 37 - 23,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,11,5,1,15,1600,800,onsdag,17.920869,59.332361,fordon,0180 2017-00613,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00613
Grimstahamnsvägen,Grimstahamnsvägen 43 - 39,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,5,10,16,31,,,,17.920054,59.332,fordon,0180 2017-00613,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00613
Grimstahamnsvägen,Grimstahamnsvägen 43 - 39,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,11,5,1,15,1600,800,onsdag,17.920054,59.332,fordon,0180 2017-00613,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00613
Grimstahamnsvägen,Grimstahamnsvägen 51 - 45,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,5,10,16,31,,,,17.919244,59.331625,fordon,0180 2017-00613,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00613
Grimstahamnsvägen,Grimstahamnsvägen 51 - 45,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,11,5,1,15,1600,800,onsdag,17.919244,59.331625,fordon,0180 2017-00613,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00613
Grimstahamnsvägen,Grimstahamnsvägen 53 - 40,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,5,10,16,31,,,,17.918892,59.331493,fordon,0180 2017-00613,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00613
Grimstahamnsvägen,Grimstahamnsvägen 53 - 40,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,11,5,1,15,1600,800,onsdag,17.918892,59.331493,fordon,0180 2017-00613,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00613
Fagerviksvägen,Fagerviksvägen 5 - 27,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,5,10,16,31,,,,17.920767,59.334425,fordon,0180 2017-00451,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00451
Fagerviksvägen,Fagerviksvägen 5 - 27,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,11,5,1,15,1600,800,måndag,17.920767,59.334425,fordon,0180 2017-00451,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00451
Fritidsvägen,Fritidsvägen 3 - 7,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-18T23:00:00Z,5,10,16,31,,,,17.909465,59.333072,fordon,0180 2017-00587,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00587
Fritidsvägen,Fritidsvägen 3 - 7,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-18T23:00:00Z,11,5,1,15,1600,800,onsdag,17.909465,59.333072,fordon,0180 2017-00587,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00587
Byggmästarvägen,Byggmästarvägen 14 - 20,Abrahamsberg,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,5,10,16,31,,,,17.950698,59.332868,fordon,0180 2017-02429,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=02429
Tyska Bottens Väg,Tyska Bottens Väg 59 - 69,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2018-02-19T23:00:00Z,5,10,16,31,,,,17.90517,59.333062,fordon,0180 2017-00560,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00560
Tyska Bottens Väg,Tyska Bottens Väg 59 - 69,Nockebyhov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid tisdag 08:00-16:00 1/11 - 15/5,2018-02-19T23:00:00Z,11,5,1,15,1600,800,tisdag,17.90517,59.333062,fordon,0180 2017-00560,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=00560
Byggmästarvägen,Byggmästarvägen 14 - 20,Abrahamsberg,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2018-02-20T23:00:00Z,11,5,1,15,1600,800,onsdag,17.950698,59.332868,fordon,0180 2017-02429,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=02429
