id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north,Stadsdel
10148,förskola,Bromma enskilda skolas förskola,Mossvägen 7,16756,Bromma,17.9643291,59.3298378,Stora mossen
6447,förskola,Bromma språkförskola,Marklandsbacken 2,16836,Bromma,17.9368963,59.3368174,Åkeslund
10206,förskola,Brommakrokodilens Montessoriförskola,Grönviksvägen 107,16776,Bromma,17.9372579,59.320387,Ålsten
7700,förskola,Bullerbyn Johan Skyttes väg 325–327,Johan Skyttes väg 325-327,12558,Älvsjö,17.9816226,59.2809421,Älvsjö
31055,förskola,Citrusgården,Folkparksvägen 161,12677,Hägersten,18.012481,59.2851239,Solberga
7705,förskola,Ekbacken Svartlösavägen 128,Svartlösavägen 128,12558,Älvsjö,17.9803431,59.2774449,Älvsjö
6645,förskola,Eken Sulvägen 52 A,Sulvägen 52 A,12640,Hägersten,18.0058888,59.2872902,Solberga
8716,förskola,Ellen Fries,Ellen Fries gata 10,12950,Hägersten,17.9703718,59.287995,Fruängen
8722,förskola,Ellen Key,Ellen Keys Gata 83,12953,Hägersten,17.966073,59.2854065,Fruängen
7709,förskola,Fantasia,Vantörsvägen 225,12955,Hägersten,17.9598385,59.2830064,Fruängen
10381,förskola,Fiberpennan,Fastlagsvägen 68,12647,Hägersten,17.9968277,59.3035402,Midsommarkransen
8674,förskola,Flyttfågeln,Stenkilsgatan 7,12652,Hägersten,17.9883258,59.3078217,Aspudden
10393,förskola,Fyra Elementen Djurkloun,Djurklouvägen 4,16763,Bromma,17.9658487,59.3176179,Smedslätten
10397,förskola,Fyra Elementen Grävlingen,Grävlingsvägen 11,16756,Bromma,17.9712138,59.3315973,Äppelviken
6906,förskola,Förskolan Ankarstocksvägen 12–14,Ankarstocksvägen 12–14,16864,Bromma,17.9294167,59.3668088,Bällsta
8333,förskola,Förskolan Beckombergavägen 76,Beckombergavägen 76,16854,Bromma,17.9165023,59.3457881,Bromma
6361,förskola,Förskolan Bergviksvägen 89A,Bergviksvägen 89A,16763,Bromma,17.9573867,59.3226656,Ålsten
10132,förskola,Förskolan Bild & Tanke,Hägerstensvägen 301,12941,Hägersten,17.9609613,59.3005085,Hägersten
6515,förskola,Förskolan Björnsonsgatan 4,Björnsonsgatan 4,16843,Bromma,17.8780185,59.3462115,Blackeberg
