Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2025/26

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Elever, årskurs 1-9;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Socioekonomisk områdestyp;
Östra skolan, Mörbylånga;50029898;Mörbylånga;0840;Enskild;CIS Kalmar AB;5565896213;231;47,6;13,4;73,2;19;37;23;20;16;22;40;27;27;Områden med goda socioekonomiska förutsättningar;
Ölands Friskola;28562125;Mörbylånga;0840;Enskild;Friskolan Öland AB;5590250949;87;64,4;9,2;79,3;.;.;.;.;.;.;13;40;34;Områden med goda socioekonomiska förutsättningar;
Alunskolan;36208582;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;37;51,4;32,4;54,1;7;8;4;6;5;7;.;.;.;Uppgift saknas;
Färjestadens högstadium;40648796;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;428;46,5;7,9;72,0;.;.;.;.;.;.;142;138;148;Områden med goda socioekonomiska förutsättningar;
Färjestadens skola;79591370;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;473;50,7;11,6;70,2;69;85;72;83;70;94;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Glömmingeskolan;15553220;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;184;49,5;..;76,1;35;29;30;24;33;33;.;.;.;Uppgift saknas;
Gårdbyskolan;12496321;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;121;47,9;5,8;69,4;23;22;20;22;18;16;.;.;.;Områden med goda socioekonomiska förutsättningar;
Skansenskolan;36651204;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;219;47,0;20,1;57,5;22;23;25;23;28;23;28;25;22;Socioekonomiskt blandade områden;
Torslundaskolan;19041877;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;147;55,1;8,2;78,9;26;27;23;27;22;22;.;.;.;Områden med goda socioekonomiska förutsättningar;
Montessori Mondial Nacka;34135484;Nacka;0182;Enskild;AcadeMedia Grundskolor AB;5560354309;79;53,2;27,8;72,2;2;7;7;13;5;3;13;5;24;Områden med goda socioekonomiska förutsättningar;
Noblaskolan Lännersta;87967939;Nacka;0182;Enskild;AcadeMedia Grundskolor AB;5560354309;277;47,7;12,6;89,2;55;50;54;48;40;30;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Noblaskolan Nacka Strand;41507895;Nacka;0182;Enskild;AcadeMedia Grundskolor AB;5560354309;65;52,3;35,4;90,8;21;16;28;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Noblaskolan Saltsjö-Boo;32965692;Nacka;0182;Enskild;AcadeMedia Grundskolor AB;5560354309;761;50,5;11,7;85,2;76;81;56;71;75;83;109;112;98;Områden med mycket goda socioekonomiska förutsättningar;
Backeboskolan;96622957;Nacka;0182;Enskild;Backeboskolan ekonomisk förening;7164221470;146;48,6;6,8;89,0;27;22;25;21;26;25;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Da Vinciskolan;24199792;Nacka;0182;Enskild;Davi Skolan Aktiebolag;5565315610;98;43,9;18,4;~100;39;30;29;.;.;.;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Ebba Braheskolan;91067048;Nacka;0182;Enskild;Ebba Braheskolan AB;5590468624;518;48,6;14,7;91,7;68;56;51;59;58;60;57;57;52;Områden med goda socioekonomiska förutsättningar;
Idunskolan Östra Stockholms Waldorfskola;44373961;Nacka;0182;Enskild;Idunstiftelsen för Waldorfpedagogik;8024782230;198;46,0;10,6;86,9;18;20;20;21;22;21;25;26;25;Områden med mycket goda socioekonomiska förutsättningar;
Internationella Engelska Skolan Nacka;74358019;Nacka;0182;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;931;48,0;28,6;82,2;.;.;.;145;160;158;159;155;154;Områden med goda socioekonomiska förutsättningar;
JENSEN grundskola Sickla;52925821;Nacka;0182;Enskild;Jensen Education College AB;5566358759;543;57,5;35,5;80,7;43;34;33;53;35;44;90;96;115;Områden med mycket goda socioekonomiska förutsättningar;
Kunskapsskolan Nacka;87425546;Nacka;0182;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;341;53,7;14,4;81,5;1;1;6;13;14;43;81;93;89;Områden med goda socioekonomiska förutsättningar;
Kunskapsskolan Saltsjöbaden;11496096;Nacka;0182;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;270;45,6;12,6;91,9;.;.;.;29;47;40;34;56;64;Områden med mycket goda socioekonomiska förutsättningar;
Lilla Nacka Skola;35311563;Nacka;0182;Enskild;Lilla Nacka AB;5568963564;117;47,0;23,9;78,6;21;22;25;16;24;9;.;.;.;Områden med goda socioekonomiska förutsättningar;
Nacka Idrottsgrundskola;54348763;Nacka;0182;Enskild;Nacka Idrottsgrundskola AB;5592885098;312;28,8;9,6;70,8;.;.;.;.;24;70;88;75;55;Områden med goda socioekonomiska förutsättningar;
Björknässkolan;75834458;Nacka;0182;Kommunal;Nacka kommun;2120000167;718;51,0;14,9;84,8;84;73;81;84;82;98;57;68;91;Områden med mycket goda socioekonomiska förutsättningar;
Boo Gårds skola;44175786;Nacka;0182;Kommunal;Nacka kommun;2120000167;744;47,0;8,1;88,0;84;84;84;84;84;84;83;75;82;Områden med mycket goda socioekonomiska förutsättningar;
Borgvallaskolan;94836092;Nacka;0182;Kommunal;Nacka kommun;2120000167;138;48,6;4,3;94,2;46;42;50;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Duvnäs skola;64285853;Nacka;0182;Kommunal;Nacka kommun;2120000167;181;43,6;9,4;94,5;26;27;28;29;31;40;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Eklidens skola;47243834;Nacka;0182;Kommunal;Nacka kommun;2120000167;840;52,1;13,6;87,3;.;.;.;.;.;.;253;289;298;Områden med goda socioekonomiska förutsättningar;
Ektorps skola;52885189;Nacka;0182;Kommunal;Nacka kommun;2120000167;395;50,6;14,7;80,0;43;43;38;68;52;55;38;36;22;Områden med goda socioekonomiska förutsättningar;
Jarlabergs skola;22472689;Nacka;0182;Kommunal;Nacka kommun;2120000167;101;50,5;37,6;62,4;23;20;24;.;14;20;.;.;.;Områden med goda socioekonomiska förutsättningar;
Järla skola;21346638;Nacka;0182;Kommunal;Nacka kommun;2120000167;633;53,2;16,9;87,0;84;79;83;123;133;131;.;.;.;Områden med goda socioekonomiska förutsättningar;
Myrsjö resursskola;90207041;Nacka;0182;Kommunal;Nacka kommun;2120000167;28;..;..;~100;.;1;3;1;4;3;6;5;5;Områden med goda socioekonomiska förutsättningar;
Myrsjöskolan;84884375;Nacka;0182;Kommunal;Nacka kommun;2120000167;1 024;46,2;14,8;80,6;81;82;81;82;81;81;195;169;172;Områden med goda socioekonomiska förutsättningar;
Neglinge skola;27344011;Nacka;0182;Kommunal;Nacka kommun;2120000167;268;51,9;7,8;94,8;54;72;52;54;36;.;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Orminge skola;53133366;Nacka;0182;Kommunal;Nacka kommun;2120000167;222;41,4;33,8;60,4;44;38;38;40;40;22;.;.;.;Områden med goda socioekonomiska förutsättningar;
Saltsjöbadens samskola;11777750;Nacka;0182;Kommunal;Nacka kommun;2120000167;840;52,0;31,5;74,2;71;77;55;69;71;128;119;130;120;Områden med mycket goda socioekonomiska förutsättningar;
Saltängens skola;43245047;Nacka;0182;Kommunal;Nacka kommun;2120000167;76;48,7;11,8;90,8;28;22;26;.;.;.;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Sickla skola;57368693;Nacka;0182;Kommunal;Nacka kommun;2120000167;337;47,2;15,7;84,0;52;71;52;47;54;49;12;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Sigfridsborgs skola;44836298;Nacka;0182;Kommunal;Nacka kommun;2120000167;650;46,6;5,5;91,1;104;104;127;106;105;104;.;.;.;Områden med goda socioekonomiska förutsättningar;
Skuru-Duvnäs resursskola;80561156;Nacka;0182;Kommunal;Nacka kommun;2120000167;31;19,4;19,4;83,9;.;4;2;2;7;4;1;7;4;Områden med goda socioekonomiska förutsättningar;
Stavsborgsskolan;14040970;Nacka;0182;Kommunal;Nacka kommun;2120000167;653;44,3;21,6;79,0;40;48;28;23;20;30;169;133;162;Områden med goda socioekonomiska förutsättningar;
Sågtorpsskolan;86937935;Nacka;0182;Kommunal;Nacka kommun;2120000167;401;43,9;8,7;80,8;66;76;73;57;59;70;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Vilans skola;22904289;Nacka;0182;Kommunal;Nacka kommun;2120000167;191;49,7;23,0;89,5;44;29;29;28;29;32;.;.;.;Områden med goda socioekonomiska förutsättningar;
Älta resursskola;34672217;Nacka;0182;Kommunal;Nacka kommun;2120000167;26;23,1;..;69,2;2;3;3;3;2;3;6;1;3;Områden med goda socioekonomiska förutsättningar;
Älta skola;82047013;Nacka;0182;Kommunal;Nacka kommun;2120000167;461;43,6;10,2;89,2;78;78;83;76;76;70;.;.;.;Områden med goda socioekonomiska förutsättningar;
Nordic International School Nacka;37887150;Nacka;0182;Enskild;Nordic International School AB;5566102033;125;60,8;69,6;61,6;12;8;9;13;14;15;15;19;20;Områden med goda socioekonomiska förutsättningar;
Viktor Rydbergs skola Nacka;27181501;Nacka;0182;Enskild;Viktor Rydbergs skola Nacka AB;5592364789;254;53,9;82,7;50,0;65;52;50;46;25;16;.;.;.;Socioekonomiskt blandade områden;
Borns Friskola;18828813;Nora;1884;Enskild;Föräldrakooperativet Borns Skola Ek.Förening;7164531886;69;42,0;15,9;72,5;12;12;12;10;13;10;.;.;.;Uppgift saknas;
Gyttorps skola;67661912;Nora;1884;Kommunal;Nora kommun;2120002007;110;48,2;17,3;45,5;16;21;18;25;13;17;.;.;.;Uppgift saknas;
Järnboås skola;43466167;Nora;1884;Kommunal;Nora kommun;2120002007;46;47,8;10,9;67,4;6;11;8;5;11;5;.;.;.;Uppgift saknas;
Järntorgsskolan;11691284;Nora;1884;Kommunal;Nora kommun;2120002007;220;51,8;29,5;63,2;38;44;32;35;33;38;.;.;.;Områden med goda socioekonomiska förutsättningar;
Karlsängskolan;40684137;Nora;1884;Kommunal;Nora kommun;2120002007;377;50,1;20,7;59,4;.;.;.;.;.;.;124;124;129;Områden med socioekonomiska utmaningar;
Lärkesskolan;33979629;Nora;1884;Kommunal;Nora kommun;2120002007;154;55,8;10,4;69,5;22;23;27;29;29;24;.;.;.;Områden med goda socioekonomiska förutsättningar;
Ås skola;29963998;Nora;1884;Kommunal;Nora kommun;2120002007;130;45,4;16,9;57,7;21;25;25;20;17;22;.;.;.;Socioekonomiskt blandade områden;
Engelbrektsskolan 4-9;22347371;Norberg;1962;Kommunal;Norbergs kommun;2120002072;332;47,0;26,2;40,4;.;.;.;55;45;53;56;62;61;Områden med socioekonomiska utmaningar;
Engelbrektsskolan F-3;22451343;Norberg;1962;Kommunal;Norbergs kommun;2120002072;169;46,7;21,3;44,4;52;69;48;.;.;.;.;.;.;Områden med socioekonomiska utmaningar;
Arthur Engbergskolan;73758193;Nordanstig;2132;Kommunal;Nordanstigs kommun;2120002312;47;46,8;14,9;53,2;6;8;11;9;9;4;.;.;.;Socioekonomiskt blandade områden;
Bergsjö skola F-9;59871341;Nordanstig;2132;Kommunal;Nordanstigs kommun;2120002312;446;49,6;11,9;49,1;32;25;34;28;31;42;82;86;86;Socioekonomiskt blandade områden;
Bringstaskolan;59944575;Nordanstig;2132;Kommunal;Nordanstigs kommun;2120002312;113;44,2;8,0;55,8;17;27;14;18;15;22;.;.;.;Socioekonomiskt blandade områden;
Gnarps skola;32915290;Nordanstig;2132;Kommunal;Nordanstigs kommun;2120002312;104;52,9;..;51,9;19;16;17;15;17;20;.;.;.;Socioekonomiskt blandade områden;
Ilsbo skola;95077890;Nordanstig;2132;Kommunal;Nordanstigs kommun;2120002312;59;47,5;..;66,1;17;12;10;13;7;.;.;.;.;Socioekonomiskt blandade områden;
Hosiannaskolan;21342606;Nordanstig;2132;Enskild;Stiftelsen Nordanstigs Kristna Center;8875012570;60;53,3;15,0;56,7;3;8;7;9;6;3;9;6;9;Socioekonomiskt blandade områden;
Stocka skola;50339286;Nordanstig;2132;Enskild;Stocka Skola Ekonomisk Förening;7696021240;26;26,9;..;42,3;5;7;2;3;5;4;.;.;.;Socioekonomiskt blandade områden;
Artediskolan 4-6;24210464;Nordmaling;2401;Kommunal;Nordmalings kommun;2120002536;168;50,6;9,5;48,8;.;.;.;48;70;50;.;.;.;Socioekonomiskt blandade områden;
Artediskolan F-3;58954417;Nordmaling;2401;Kommunal;Nordmalings kommun;2120002536;160;57,5;13,1;49,4;52;51;57;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Artediskolan åk 7-9;58185455;Nordmaling;2401;Kommunal;Nordmalings kommun;2120002536;196;47,4;10,2;50,5;.;.;.;.;.;.;66;65;65;Socioekonomiskt blandade områden;
Gräsmyr skola;40145225;Nordmaling;2401;Kommunal;Nordmalings kommun;2120002536;54;50,0;..;51,9;8;8;11;9;5;13;.;.;.;Områden med goda socioekonomiska förutsättningar;
Lögdeå skola;14365211;Nordmaling;2401;Kommunal;Nordmalings kommun;2120002536;45;51,1;..;55,6;15;14;16;.;.;.;.;.;.;Uppgift saknas;
I Ur och Skur sk Skattkammarön;50770926;Norrköping;0581;Enskild;I Ur och Skur Skolan Skattkammarön Ek. För.;7696108104;130;41,5;3,8;76,9;16;16;16;16;16;10;15;11;14;Socioekonomiskt blandade områden;
JENSEN grundskola Norrköping;10435966;Norrköping;0581;Enskild;Jensen Education College AB;5566358759;307;58,3;45,0;70,4;.;.;.;.;.;25;91;97;94;Socioekonomiskt blandade områden;
Jönsbergska Idrottsskolan Norrköping;61454000;Norrköping;0581;Enskild;Jönsbergska Idrottsskolan Norrköping AB;5566765920;335;41,5;6,9;76,4;.;.;.;56;56;56;56;56;55;Socioekonomiskt blandade områden;
Kunskapsskolan Norrköping;77437748;Norrköping;0581;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;494;52,8;13,2;87,4;.;.;.;.;.;115;138;134;107;Socioekonomiskt blandade områden;
Kvarsebo skola;51966487;Norrköping;0581;Enskild;Kvarsebo Skola;8024144779;24;54,2;..;66,7;4;4;5;4;2;5;.;.;.;Områden med goda socioekonomiska förutsättningar;
Lärande Grundskola Södra;72526185;Norrköping;0581;Enskild;Lärande förskolor och grundskolor i Sverige AB;5567243547;352;54,5;18,2;64,2;28;28;28;28;28;54;54;49;55;Socioekonomiskt blandade områden;
Lärande Grundskola Östra;90838156;Norrköping;0581;Enskild;Lärande förskolor och grundskolor i Sverige AB;5567243547;473;49,5;29,0;68,3;41;48;55;56;57;53;54;50;59;Områden med goda socioekonomiska förutsättningar;
Nordic International School Norrköping;67542970;Norrköping;0581;Enskild;Nordic International School AB;5566102033;369;52,0;69,4;52,0;.;.;.;47;43;45;88;52;94;Områden med goda socioekonomiska förutsättningar;
Borgsmoskolan 1;26387738;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;165;52,7;38,8;35,8;.;.;.;.;.;.;46;49;70;Socioekonomiskt blandade områden;
Borgsmoskolan 2;65807685;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;22;27,3;27,3;54,5;.;.;.;3;.;5;3;6;5;Socioekonomiskt blandade områden;
Bråviksskolan 1;78907666;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;323;47,1;13,6;80,2;44;49;47;67;74;42;.;.;.;Områden med goda socioekonomiska förutsättningar;
Dagsbergs skola;60154076;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;100;48,0;..;66,0;37;28;35;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
De Geers skola;96386396;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;121;61,2;53,7;61,2;48;43;30;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Djäkneparksskolan 1;59526276;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;507;46,0;42,8;58,0;.;.;.;.;.;.;169;168;170;Socioekonomiskt blandade områden;
Ektorpsringen 2;45594609;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;238;48,3;50,4;45,4;47;44;51;52;44;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Ektorpsskolan 1;12079022;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;235;42,1;46,0;46,8;.;.;.;.;.;.;78;74;83;Områden med goda socioekonomiska förutsättningar;
Enebyskolan 1;24625357;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;173;60,1;12,1;72,8;.;.;.;.;.;.;58;55;60;Socioekonomiskt blandade områden;
Enebyskolan 2;35609364;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;170;52,9;12,4;75,3;.;.;.;.;.;.;58;59;53;Socioekonomiskt blandade områden;
Greby-skolan;55724712;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;131;48,1;7,6;74,0;41;41;49;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Gustaf Adolfsskolan 2;61662805;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;165;51,5;72,7;41,2;29;17;28;28;27;36;.;.;.;Socioekonomiskt blandade områden;
Hagaskolan 1;17315625;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;267;55,8;33,7;66,3;.;.;.;.;.;.;105;73;89;Socioekonomiskt blandade områden;
Hagaskolan 2;76530329;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;183;69,4;15,3;80,9;.;.;.;39;70;74;.;.;.;Socioekonomiskt blandade områden;
Hultdalsskolan;40393888;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;364;46,2;6,9;71,4;.;.;.;.;.;.;129;105;130;Områden med goda socioekonomiska förutsättningar;
Jurslaskolan 1;26191960;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;271;56,5;5,2;80,1;41;50;28;52;44;56;.;.;.;Områden med goda socioekonomiska förutsättningar;
Karlshovsskolan;23461399;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;280;50,7;25,7;66,1;50;51;52;48;29;50;.;.;.;Områden med goda socioekonomiska förutsättningar;
Kimstadskolan;38306850;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;115;51,3;4,3;78,3;.;.;.;40;37;38;.;.;.;Områden med goda socioekonomiska förutsättningar;
Klingsborgsskolan 1;24979620;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;279;51,6;85,3;26,9;.;.;.;.;.;.;80;81;118;Socioekonomiskt blandade områden;
Kungsängsskolan;36393624;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;320;46,9;14,4;78,8;52;53;68;56;52;39;.;.;.;Områden med goda socioekonomiska förutsättningar;
Kyrkskolan 2;58663615;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;290;46,9;14,5;75,5;51;44;55;48;42;50;.;.;.;Områden med goda socioekonomiska förutsättningar;
Kättinge skola;81104648;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;70;50,0;..;55,7;16;16;11;12;15;.;.;.;.;Uppgift saknas;
Lindöskolan;39026192;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;118;47,5;11,0;84,7;43;39;36;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Ljuraskolan 1;61866166;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;256;55,1;64,5;38,7;38;42;43;46;46;41;.;.;.;Områden med stora socioekonomiska utmaningar;
Matteusskolan 2;14994184;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;227;45,4;62,6;45,8;38;50;46;37;34;22;.;.;.;Områden med stora socioekonomiska utmaningar;
Mosstorpsskolan 1;41484780;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;131;45,8;3,8;45,8;.;.;.;43;50;38;.;.;.;Områden med goda socioekonomiska förutsättningar;
Mosstorpsskolan 2;67224193;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;235;47,2;6,0;54,9;.;.;.;.;.;.;87;68;80;Områden med goda socioekonomiska förutsättningar;
Navestadsskolan 2;67887385;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;387;50,4;54,0;45,2;.;.;.;60;66;62;75;58;66;Områden med stora socioekonomiska utmaningar;
Norrköpings Montessoriskola 1;28313481;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;119;50,4;26,9;69,7;43;32;44;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Norrköpings Montessoriskola 2;17695834;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;144;48,6;43,8;49,3;.;.;.;50;42;52;.;.;.;Socioekonomiskt blandade områden;
Oxelbergsskolan;46722664;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;160;53,1;18,8;63,1;28;28;28;27;26;23;.;.;.;Områden med goda socioekonomiska förutsättningar;
Parkskolan;91576770;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;150;49,3;3,3;51,3;46;53;51;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Råsslaskolan 1;80621158;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;502;46,0;3,6;73,1;.;.;.;83;90;82;86;84;77;Områden med goda socioekonomiska förutsättningar;
Sandbyhovsskolan;64558930;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;261;41,8;32,2;55,6;.;.;.;.;.;.;81;78;102;Socioekonomiskt blandade områden;
Sandbyängsskolan 2;48631026;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;270;53,0;30,4;52,2;46;52;50;43;36;43;.;.;.;Socioekonomiskt blandade områden;
Silverdansens skola;35742140;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;180;43,3;52,8;48,3;50;49;81;.;.;.;.;.;.;Områden med stora socioekonomiska utmaningar;
Skarphagsskolan 1;56043103;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;127;45,7;19,7;65,4;.;.;.;50;44;33;.;.;.;Områden med goda socioekonomiska förutsättningar;
Skarphagsskolan 2;58040213;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;154;42,9;24,0;72,7;50;52;52;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Smedbyskolan;76987213;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;295;51,5;17,6;76,9;52;54;55;52;51;31;.;.;.;Områden med goda socioekonomiska förutsättningar;
Svärtinge Skogsbacke skola;87220418;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;264;50,0;14,8;82,2;49;49;48;43;37;38;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Svärtingehus 1;65775074;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;257;44,0;8,2;74,3;37;46;50;46;40;38;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Söderporten 1;44312769;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;373;46,6;83,9;30,6;47;58;78;66;71;53;.;.;.;Områden med stora socioekonomiska utmaningar;
Tamburinens skola;63512597;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;223;46,2;43,9;39,9;35;30;48;33;39;38;.;.;.;Områden med socioekonomiska utmaningar;
Tåby skola;62569328;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;100;44,0;..;60,0;23;21;23;17;16;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Uttersbergsskolan;82294598;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;268;53,7;3,0;71,3;83;92;93;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Vikbolandsskolan 1;86323840;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;195;49,7;4,1;62,1;.;.;.;.;.;.;63;57;75;Områden med goda socioekonomiska förutsättningar;
Vikbolandsskolan 2;34784374;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;221;44,8;4,5;54,3;25;25;37;33;37;64;.;.;.;Områden med goda socioekonomiska förutsättningar;
Vilbergsskolan;72299802;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;286;49,7;23,1;55,2;54;45;50;50;40;47;.;.;.;Områden med goda socioekonomiska förutsättningar;
Villastadsskolan;59469604;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;120;48,3;25,8;70,8;23;24;26;18;12;17;.;.;.;Områden med goda socioekonomiska förutsättningar;
Vrinneviskolan;61330534;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;230;48,3;74,3;45,7;46;39;38;38;40;29;.;.;.;Områden med stora socioekonomiska utmaningar;
Vångaskolan;94530544;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;93;50,5;5,4;49,5;16;15;15;21;16;10;.;.;.;Uppgift saknas;
Åbymoskolan 1;65244856;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;411;48,9;6,6;73,7;71;66;65;66;59;84;.;.;.;Områden med goda socioekonomiska förutsättningar;
Prolympia, Norrköping;16013826;Norrköping;0581;Enskild;Prolympia AB;5567026454;501;39,7;8,2;71,3;.;.;.;53;53;52;114;115;114;Socioekonomiskt blandade områden;
Johannesskolan Norrkpg Kr Sk;57529996;Norrköping;0581;Enskild;Stiftelsen Agape Norrköping;8190009996;151;51,7;77,5;46,4;23;23;24;22;21;10;8;9;11;Socioekonomiskt blandade områden;
Stiftelsen Rudolf Steinerskolan;33530590;Norrköping;0581;Enskild;Stiftelsen Rudolf Steinerskolan i Norrköping;8250013037;203;50,7;7,9;75,9;22;23;19;16;27;19;27;22;28;Områden med goda socioekonomiska förutsättningar;
Stegehus skola;73656861;Norrköping;0581;Enskild;Stiftelsen Steget;8250007922;12;..;..;41,7;.;.;.;.;.;.;3;4;5;Områden med goda socioekonomiska förutsättningar;
Vittra Röda stan;38936292;Norrköping;0581;Enskild;Vittraskolorna AB;5564586716;448;50,7;49,6;56,9;52;53;49;57;57;54;50;28;48;Områden med stora socioekonomiska utmaningar;
Innovitaskolan Norrtälje;67809355;Norrtälje;0188;Enskild;AcadeMedia Grundskolor AB;5560354309;196;51,0;7,7;52,6;22;36;25;43;30;40;.;.;.;Uppgift saknas;
Ekebyholmsskolan, gr;98239828;Norrtälje;0188;Enskild;Ekebyholmsskolan Aktiebolag;5562512425;213;56,3;15,0;72,3;23;21;35;23;20;24;20;23;24;Områden med goda socioekonomiska förutsättningar;
Freinetskolan Hugin;89692072;Norrtälje;0188;Enskild;Freinetskolan Hugin Ekonomisk förening;7696188189;228;52,2;18,4;64,0;25;24;24;26;26;26;26;26;25;Områden med goda socioekonomiska förutsättningar;
Freinetskolan Mimer;45133950;Norrtälje;0188;Enskild;Freinetskolan Mimer ekonomisk förening;7696021117;149;48,3;6,0;77,2;24;24;24;25;26;26;.;.;.;Områden med goda socioekonomiska förutsättningar;
Freinetskolan Mimer Tingshuset;57467562;Norrtälje;0188;Enskild;Freinetskolan Mimer ekonomisk förening;7696021117;168;39,3;7,7;67,9;.;.;.;.;.;.;56;56;56;Områden med goda socioekonomiska förutsättningar;
Internationella Engelska Skolan Norrtälje;67743631;Norrtälje;0188;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;364;56,3;47,0;55,5;38;22;51;31;63;29;51;79;.;Områden med goda socioekonomiska förutsättningar;
Montessoriskolan - Gustafslund;26281697;Norrtälje;0188;Enskild;Montessori i Norrtälje AB;5562855410;270;46,3;14,1;64,8;.;.;.;.;34;44;69;70;53;Socioekonomiskt blandade områden;
