namn,kategori,gata,lat,lon,stadsdel
Förskolan Gustav III:s väg 36,förskola,Gustav III:s väg 36,59.3338755,17.9462717,Abrahamsberg
Förskolan Hagelstavägen 24,förskola,Hagelstavägen 24,59.360717,17.9479909,Mariehäll
Förskolan Höjden,förskola,Kinnaredsgränd 69,59.2897487,18.030944,Östberga
Förskolan Johannesfredsvägen 27,förskola,Johannesfredsvägen 27,59.3469559,17.9731332,Ulvsunda industriområde
Förskolan Karen Blixens gata 15,förskola,Karen Blixens gata 15,59.3461936,17.8733615,Blackeberg
Förskolan Kattresan,förskola,Zornvägen 43–47,59.3421619,17.8929598,Södra Ängby
Förskolan Klintbacken 11,förskola,Klintbacken 11,59.3599018,17.9542252,Mariehäll
Förskolan Margretelundsvägen 73,förskola,Margretelundsvägen 73,59.3397511,17.9772262,Traneberg
Förskolan Marklandsbacken 2,förskola,Marklandsbacken 2,59.3368174,17.9368963,Åkeslund
Förskolan Masugnsvägen 72–74,förskola,Masugnsvägen  72–74,59.3571965,17.9622088,Ulvsunda industriområde
Förskolan Metapontum,förskola,Stora Mans Väg 11D,59.2824177,17.9731195,Älvsjö
"Förskolan Nockeby kyrkväg 8, Svanhildsvägen 23",förskola,"Nockeby kyrkväg 8, Svanhildsvägen 23",6579397.0,145792.0,
Förskolan Nockebyvägen 20,förskola,Nockebyvägen 20,59.3226627,17.9414025,Höglandet
Förskolan Nyängsvägen 21,förskola,Nyängsvägen 21,59.3247797,17.9687294,Äppelviken
Förskolan Nyängsvägen 66,förskola,Nyängsvägen 66,59.3251433,17.9599447,Ålsten
Förskolan Olovslundsvägen 19,förskola,Olovslundsvägen 19,59.3311661,17.9384342,Olovslund
Förskolan Osmundsvägen 6,förskola,Osmundsvägen 6,59.3473643,17.9741872,Ulvsunda industriområde
Förskolan Pippi Långstrumps gata 12,förskola,Pippi Långstrumps gata 12,59.3628488,17.9471455,Mariehäll
Förskolan Pippi Långstrumps gata 14,förskola,Pippi Långstrumps gata 14,59.3632791,17.9467454,Mariehäll
Förskolan Raketen,förskola,Björnsonsgatan 313,59.3495177,17.8819116,Blackeberg
Förskolan Ringarstigen 2,förskola,Ringarstigen 2,59.355328,17.9241503,Bromma kyrka
Förskolan Råbyvägen,förskola,Råbyvägen 34,59.2761013,18.0220258,Älvsjö
Förskolan Smedslättsvägen 71,förskola,Smedslättsvägen 71,59.3230505,17.961015,Smedslätten
