namn,kategori,gata,lat,lon,stadsdel,stadsdelsomrade
Öppna förskolan Hägerstensåsen,öppen_förskola,Inteckningsvägen 17 E,59.2924289,17.9834525,Hägerstensåsen,Hägersten-Älvsjö
Öppna förskolan i Blackeberg,öppen_förskola,Grundtvigsgatan 29 (21) (mittemot Blackebergsparken),6581110.0,143549.0,,
Öppna förskolan Pippi för barn med funktionsnedsättning,öppen_förskola,Hanna Rydhs gata 5,59.2859588,17.9738024,Fruängen,Hägersten-Älvsjö
Öppna förskolan Tunnlandsvägen,öppen_förskola,Tunnlandsvägen 30 B,59.3363663,17.9404689,Bromma,Bromma
Öppna förskolan Älvsjö,öppen_förskola,Solberga ängsväg 4,59.2812742,18.0136606,Älvsjö,Hägersten-Älvsjö
"Öppna förskolan Östberga, Östberga kulturhus",öppen_förskola,Östbergatorget 14,59.2889218,18.0332425,Östberga,
Andante förskolor Utflyktsvägen,förskola,Utflyktsvägen 4,59.3302726,17.9115719,Nockebyhov,Bromma
Annedals Montessoriförskola,förskola,Pippi Långstrumps gata 35,59.3655816,17.9469495,Mariehäll,Bromma
Bellmanskällans Montessoriförskola,förskola,Brådstupsvägen 5–9,59.3044665,17.9585439,Hägersten,Hägersten-Älvsjö
Birkamyntet – Ängbybarnens förskolor,förskola,Vultejusvägen 59,59.3440481,17.9090027,Norra Ängby,Bromma
Björntjänst,förskola,Bäckbornas väg 17,59.3626829,17.9011908,Eneby,Bromma
Blackebergs Montessoriförskola,förskola,Holbergsgatan 109,59.3446405,17.8848678,Blackeberg,Bromma
Blomstermåla – Ängbybarnens förskolor,förskola,Frislandsvägen 1–3,59.3470737,17.8984523,Södra Ängby,Bromma
Blå Grodan,förskola,Missionsvägen 14,59.3408876,17.9764308,Ulvsunda,Bromma
Bromma enskilda skolas förskola,förskola,Mossvägen 7,59.3298378,17.9643291,Stora mossen,Bromma
Bromma språkförskola,förskola,Marklandsbacken 2,59.3368174,17.9368963,Åkeslund,Bromma
Brommakrokodilens Montessoriförskola,förskola,Grönviksvägen 107,59.320387,17.9372579,Ålsten,Bromma
Bullerbyn Johan Skyttes väg 325–327,förskola,Johan Skyttes väg 325-327,59.2809421,17.9816226,Älvsjö,Hägersten-Älvsjö
Citrusgården,förskola,Folkparksvägen 161,59.2851239,18.012481,Solberga,Hägersten-Älvsjö
Ekbacken Svartlösavägen 128,förskola,Svartlösavägen 128,59.2774449,17.9803431,Älvsjö,Hägersten-Älvsjö
Eken Sulvägen 52 A,förskola,Sulvägen 52 A,59.2872902,18.0058888,Solberga,Hägersten-Älvsjö
Ellen Fries,förskola,Ellen Fries gata 10,59.287995,17.9703718,Fruängen,Hägersten-Älvsjö
Ellen Key,förskola,Ellen Keys Gata 83,59.2854065,17.966073,Fruängen,Hägersten-Älvsjö
Fantasia,förskola,Vantörsvägen 225,59.2830064,17.9598385,Fruängen,Hägersten-Älvsjö
Fiberpennan,förskola,Fastlagsvägen 68,59.3035402,17.9968277,Midsommarkransen,Hägersten-Älvsjö
Flyttfågeln,förskola,Stenkilsgatan 7,59.3078217,17.9883258,Aspudden,Hägersten-Älvsjö
Fyra Elementen Djurkloun,förskola,Djurklouvägen 4,59.3176179,17.9658487,Smedslätten,Bromma
Fyra Elementen Grävlingen,förskola,Grävlingsvägen 11,59.3315973,17.9712138,Äppelviken,Bromma
Förskolan Ankarstocksvägen 12–14,förskola,Ankarstocksvägen 12–14,59.3668088,17.9294167,Bällsta,Bromma
Förskolan Beckombergavägen 76,förskola,Beckombergavägen 76,59.3457881,17.9165023,Bromma,Bromma
Förskolan Bergviksvägen 89A,förskola,Bergviksvägen 89A,59.3226656,17.9573867,Ålsten,Bromma
Förskolan Bild & Tanke,förskola,Hägerstensvägen 301,59.3005085,17.9609613,Hägersten,Hägersten-Älvsjö
Förskolan Björnsonsgatan 4,förskola,Björnsonsgatan 4,59.3462115,17.8780185,Blackeberg,Bromma
Förskolan Bällstaågatan 62,förskola,Bällstaågatan 62,59.3638101,17.9545589,Mariehäll,Bromma
Förskolan Bävervägen 43,förskola,Bävervägen 43,59.3340283,17.9536389,Abrahamsberg,Bromma
Förskolan Dartanjangs gata 3,förskola,Dartanjangs gata 3,59.3620536,17.9449557,Mariehäll,Bromma
Förskolan Djupdalsvägen 72–74,förskola,Djupdalsvägen 72–74,59.3303634,17.9370222,Olovslund,Bromma
Förskolan Drottningholmsvägen 510A,förskola,Drottningholmsvägen 510A,59.3355424,17.9265852,Åkeshov,Bromma
Förskolan Författarvägen 29–31,förskola,Författarvägen 29-31,59.3255683,17.9339353,Höglandet,Bromma
Förskolan Gliavägen 128,förskola,Gliavägen 128,59.3523384,17.9290909,Bromma kyrka,Bromma
Förskolan Gliavägen 130,förskola,Gliavägen 130 B,59.3523384,17.9290909,Bromma kyrka,Bromma
Förskolan Grindslanten,förskola,Förskottsvägen 20,59.2982032,17.9855229,Hägerstensåsen,Hägersten-Älvsjö
Förskolan Gubbkärrsvägen 29,förskola,Gubbkärrsvägen 29,59.3315458,17.9142267,Nockebyhov,Bromma
Förskolan Guldklimpar Lilla Äppelbo,förskola,Runda vägen 24A,59.3303711,17.9802691,Alvik,Bromma
Förskolan Guldklimpar Äppelbo,förskola,Runda vägen 50,59.3319757,17.9784488,Alvik,Bromma
Förskolan Gustav III:s väg 36,förskola,Gustav III:s väg 36,59.3338755,17.9462717,Abrahamsberg,Bromma
Förskolan Hagelstavägen 24,förskola,Hagelstavägen 24,59.360717,17.9479909,Mariehäll,Bromma
Förskolan Höjden,förskola,Kinnaredsgränd 69,59.2897487,18.030944,Östberga,
Förskolan Johannesfredsvägen 27,förskola,Johannesfredsvägen 27,59.3469559,17.9731332,Ulvsunda industriområde,Bromma
Förskolan Karen Blixens gata 15,förskola,Karen Blixens gata 15,59.3461936,17.8733615,Blackeberg,Bromma
Förskolan Kattresan,förskola,Zornvägen 43–47,59.3421619,17.8929598,Södra Ängby,Bromma
Förskolan Klintbacken 11,förskola,Klintbacken 11,59.3599018,17.9542252,Mariehäll,Bromma
Förskolan Margretelundsvägen 73,förskola,Margretelundsvägen 73,59.3397511,17.9772262,Traneberg,Bromma
Förskolan Marklandsbacken 2,förskola,Marklandsbacken 2,59.3368174,17.9368963,Åkeslund,Bromma
Förskolan Masugnsvägen 72–74,förskola,Masugnsvägen  72–74,59.3571965,17.9622088,Ulvsunda industriområde,Bromma
Förskolan Metapontum,förskola,Stora Mans Väg 11D,59.2824177,17.9731195,Älvsjö,Hägersten-Älvsjö
"Förskolan Nockeby kyrkväg 8, Svanhildsvägen 23",förskola,"Nockeby kyrkväg 8, Svanhildsvägen 23",6579397.0,145792.0,,
Förskolan Nockebyvägen 20,förskola,Nockebyvägen 20,59.3226627,17.9414025,Höglandet,Bromma
Förskolan Nyängsvägen 21,förskola,Nyängsvägen 21,59.3247797,17.9687294,Äppelviken,Bromma
Förskolan Nyängsvägen 66,förskola,Nyängsvägen 66,59.3251433,17.9599447,Ålsten,Bromma
