Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel
Örby Slottsplan,park,Park,Gripsholmsvägen,17B,59.2823547,18.0311456,Örby slott
Park,park,Park,Örby Slottsväg,30,59.281843,18.0319655,Örby slott
Långbrogårdsparken,park,Park,Långbrovägen,50,59.279962,17.9911334,Älvsjö
Blåklockan,park,Park,Gamla Huddingevägen,439,59.2739233,18.0240543,Älvsjö
Viktoriaparken,park,Park,Viktoriavägen,43,59.2798577,17.9978112,Långsjö
Viktoriaparken,park,Park,Viktoriavägen,30,59.2790581,17.9951597,Långsjö
Pälsängen,park,Park,Krattvägen,N/A,59.2855596,17.987381,Älvsjö
Park,park,Park,Karossvägen,N/A,59.2862325,17.9812798,Älvsjö
Lerkrogsparken,park,Park,Spikskogatan,1b,59.2797047,18.0074551,Älvsjö
Standarkullen,park,Park,Standarvägen,N/A,59.2766379,18.0038433,Liseberg
Park,park,Park,Stambanevägen,106,59.2620931,17.9831865,Snättringe
Park,park,Park,Konvaljestigen,N/A,59.275497,17.9710674,Älvsjö
Park,park,Park,Eldsbergagränd,35,59.287686,18.0348478,Östberga
Park,park,Park,Östbergabackarna,N/A,59.289962,18.0283924,Östberga
Park,park,Park,Spannarpsgränd,8,59.2895277,18.0278001,Östberga
Kabelverksparken,park,Park,Luftkabelgatan,8,59.2818035,17.9998876,Liseberg
Medaljongparken,park,Park,Kabelverksgatan,N/A,59.2832397,18.0011766,Älvsjö
Långbroparken,park,Park,Stora Kvinns Väg,N/A,59.2809249,17.9732464,Älvsjö
