% av total boende;Antal bostadsrätter;Antal hyresrätter;Antal äganderätter;ContentsCode;Region;Stadsdel;stadsdelsomrade;Statistikområde;Tid;Upplatelseform;Upplåtelseform_Stor;value
0,259492764;;1811;;Antal;0180R016_RegSO2025;Engelbrekts kyrka;;0180R016 Engelbrekts kyrka;2024;hyresrätt;Hyresrätt;1811
;;;;Antal;0180R016_RegSO2025;Engelbrekts kyrka;;0180R016 Engelbrekts kyrka;2024;uppgift saknas;Uppgift saknas;0
0,270464964;;;413;Antal;0180R017_RegSO2025;Enskede Gård;;0180R017 Enskede Gård;2024;äganderätt;Äganderätt;413
0,203667322;311;;;Antal;0180R017_RegSO2025;Enskede Gård;;0180R017 Enskede Gård;2024;bostadsrätt;Bostadsrätt;311
0,525867714;;803;;Antal;0180R017_RegSO2025;Enskede Gård;;0180R017 Enskede Gård;2024;hyresrätt;Hyresrätt;803
;;;;Antal;0180R017_RegSO2025;Enskede Gård;;0180R017 Enskede Gård;2024;uppgift saknas;Uppgift saknas;0
0,41680261;;;511;Antal;0180R018_RegSO2025;Enskededalen;;0180R018 Enskededalen;2024;äganderätt;Äganderätt;511
0,35725938;438;;;Antal;0180R018_RegSO2025;Enskededalen;;0180R018 Enskededalen;2024;bostadsrätt;Bostadsrätt;438
0,22593801;;277;;Antal;0180R018_RegSO2025;Enskededalen;;0180R018 Enskededalen;2024;hyresrätt;Hyresrätt;277
;;;;Antal;0180R018_RegSO2025;Enskededalen;;0180R018 Enskededalen;2024;uppgift saknas;Uppgift saknas;0
0,528720627;;;405;Antal;0180R019_RegSO2025;Enskedefältet;;0180R019 Enskedefältet;2024;äganderätt;Äganderätt;405
0,09921671;76;;;Antal;0180R019_RegSO2025;Enskedefältet;;0180R019 Enskedefältet;2024;bostadsrätt;Bostadsrätt;76
0,372062663;;285;;Antal;0180R019_RegSO2025;Enskedefältet;;0180R019 Enskedefältet;2024;hyresrätt;Hyresrätt;285
;;;;Antal;0180R019_RegSO2025;Enskedefältet;;0180R019 Enskedefältet;2024;uppgift saknas;Uppgift saknas;0
0,154220779;;;190;Antal;0180R020_RegSO2025;Fagersjö;;0180R020 Fagersjö;2024;äganderätt;Äganderätt;190
0,243506494;300;;;Antal;0180R020_RegSO2025;Fagersjö;;0180R020 Fagersjö;2024;bostadsrätt;Bostadsrätt;300
0,602272727;;742;;Antal;0180R020_RegSO2025;Fagersjö;;0180R020 Fagersjö;2024;hyresrätt;Hyresrätt;742
;;;;Antal;0180R020_RegSO2025;Fagersjö;;0180R020 Fagersjö;2024;uppgift saknas;Uppgift saknas;0
0,053887606;;;420;Antal;0180R021_RegSO2025;Farsta;;0180R021 Farsta;2024;äganderätt;Äganderätt;420
0,439697203;3427;;;Antal;0180R021_RegSO2025;Farsta;;0180R021 Farsta;2024;bostadsrätt;Bostadsrätt;3427
0,506415191;;3947;;Antal;0180R021_RegSO2025;Farsta;;0180R021 Farsta;2024;hyresrätt;Hyresrätt;3947
;;;;Antal;0180R021_RegSO2025;Farsta;;0180R021 Farsta;2024;uppgift saknas;Uppgift saknas;0
0,788461538;;;656;Antal;0180R022_RegSO2025;Flysta;;0180R022 Flysta;2024;äganderätt;Äganderätt;656
0,007211538;6;;;Antal;0180R022_RegSO2025;Flysta;;0180R022 Flysta;2024;bostadsrätt;Bostadsrätt;6
0,204326923;;170;;Antal;0180R022_RegSO2025;Flysta;;0180R022 Flysta;2024;hyresrätt;Hyresrätt;170
;;;;Antal;0180R022_RegSO2025;Flysta;;0180R022 Flysta;2024;uppgift saknas;Uppgift saknas;0
0;;;0;Antal;0180R023_RegSO2025;Fredhäll;;0180R023 Fredhäll;2024;äganderätt;Äganderätt;0
0,566840731;2171;;;Antal;0180R023_RegSO2025;Fredhäll;;0180R023 Fredhäll;2024;bostadsrätt;Bostadsrätt;2171
0,433159269;;1659;;Antal;0180R023_RegSO2025;Fredhäll;;0180R023 Fredhäll;2024;hyresrätt;Hyresrätt;1659
;;;;Antal;0180R023_RegSO2025;Fredhäll;;0180R023 Fredhäll;2024;uppgift saknas;Uppgift saknas;0
0,026888604;;;147;Antal;0180R024_RegSO2025;Fruängen;Hägersten-Älvsjö;0180R024 Fruängen;2024;äganderätt;Äganderätt;147
0,638375709;3490;;;Antal;0180R024_RegSO2025;Fruängen;Hägersten-Älvsjö;0180R024 Fruängen;2024;bostadsrätt;Bostadsrätt;3490
0,334735687;;1830;;Antal;0180R024_RegSO2025;Fruängen;Hägersten-Älvsjö;0180R024 Fruängen;2024;hyresrätt;Hyresrätt;1830
;;;;Antal;0180R024_RegSO2025;Fruängen;Hägersten-Älvsjö;0180R024 Fruängen;2024;uppgift saknas;Uppgift saknas;0
0,176735093;;;904;Antal;0180R025_RegSO2025;Gamla Enskede;;0180R025 Gamla Enskede;2024;äganderätt;Äganderätt;904
0,46001955;2353;;;Antal;0180R025_RegSO2025;Gamla Enskede;;0180R025 Gamla Enskede;2024;bostadsrätt;Bostadsrätt;2353
